target,panel,energy,genes_z3,cells
ACACA,False,16.4768,32,166
ACAD10,False,21.4223,54,141
ACAD8,False,16.0205,21,208
ACAD9,False,22.1519,25,131
ACADM,False,16.8556,27,127
ACADS,False,20.5736,15,103
ACADSB,False,12.4703,36,216
ACADVL,False,8.18896,19,268
ACAP2,False,15.4997,15,160
ACAP3,False,12.8653,25,179
ACAT1,False,9.00257,23,213
ACAT2,False,18.598,45,152
ACBD3,False,11.9888,39,237
ACBD5,False,11.9154,44,238
ACBD6,False,16.9142,87,214
ACCS,False,20.5949,19,110
ACD,False,14.5322,21,153
ACER3,False,6.87825,19,311
ACIN1,False,9.41076,92,355
ACLY,True,38.0055,69,90
ACO1,False,14.4966,21,157
ACO2,False,14.7615,33,155
ACOT12,False,6.28878,35,422
ACOT13,False,15.6168,23,147
ACOT7,False,5.95737,23,348
ACOT8,False,21.7244,13,119
ACOT9,False,9.70506,21,247
ACOX1,False,13.402,21,178
ACP1,False,50.5158,17,49
ACP2,False,48.3051,15,57
ACP5,False,8.55607,58,363
ACSF3,False,28.4523,25,89
ACSL1,False,5.47008,22,406
ACSL3,False,54.0913,322,130
ACSL4,False,27.291,40,93
ACSM3,False,30.514,18,75
ACSS2,False,35.0071,133,132
ACTB,False,24.6489,173,363
ACTG1,False,149.6,122,19
ACTL6A,False,131.718,359,62
ACTN1,False,14.0458,42,273
ACTN4,False,7.93712,21,305
ACTR10,False,49.4722,215,99
ACTR1A,False,5.58004,27,451
ACTR1B,False,4.60462,25,517
ACTR2,False,4.82016,36,498
ACTR3,False,13.411,49,261
ACTR3B,False,23.7098,21,117
ACTR3C,False,21.2796,23,122
ACTR5,False,70.6662,91,50
ACTR6,False,108.577,630,184
ACTR8,False,48.4667,958,408
ACVR1B,False,11.8078,23,212
ACVR2B,False,23.5514,18,115
ACY1,False,33.4706,21,70
ACYP1,False,8.52675,20,236
ACYP2,False,28.0854,14,85
ADA,False,14.1923,23,173
ADAL,False,23.6871,24,119
ADAM10,False,70.0621,185,84
ADAM15,False,21.7045,30,117
ADAM17,False,8.79388,22,258
ADAM9,False,10.7269,21,214
ADAMTS14,False,16.2155,28,140
ADAMTS3,False,15.5074,8,135
ADAMTSL4,False,22.5815,15,101
ADAR,False,5.59973,21,394
ADARB1,False,5.19428,14,374
ADAT1,False,16.6489,39,192
ADAT2,False,15.0894,28,175
ADAT3,False,10.5451,100,318
ADCK2,False,7.36579,23,309
ADCK5,False,28.0881,25,81
ADCY3,False,8.42424,24,262
ADCY7,False,37.4119,18,60
ADD1,False,8.60265,32,280
ADD2,False,12.3935,22,210
ADD3,False,11.1938,24,207
ADH5,False,12.6989,19,171
ADI1,False,21.3628,16,100
ADIPOR1,False,14.6666,23,143
ADIPOR2,False,9.76895,32,241
ADK,False,9.06349,21,219
ADNP,True,27.6204,103,156
ADNP2,False,72.016,181,87
ADO,False,35.3638,118,150
ADORA2B,False,15.1249,24,174
ADPGK,False,36.3778,67,93
ADPRHL2,False,19.3087,35,151
ADRM1,False,7.39003,85,403
ADSL,False,18.2711,217,255
ADSS,False,39.0505,102,87
ADTRP,False,14.0875,19,141
AEBP1,False,8.35975,26,255
AEBP2,False,18.1698,40,167
AEN,False,7.4941,31,321
AFF1,False,14.1561,18,142
AFF4,False,15.6686,21,154
AFG3L2,False,125.937,83,26
AFMID,False,25.2016,19,88
AFTPH,False,16.8298,28,156
AGA,False,83.8848,13,30
AGAP1,False,23.0596,23,105
AGAP3,False,28.9243,31,90
AGBL5,False,6.94556,44,372
AGFG1,False,8.77327,22,243
AGFG2,False,7.28396,12,293
AGGF1,False,11.6571,25,189
AGK,False,23.6863,18,90
AGL,False,13.4086,13,166
AGO1,True,22.7592,80,165
AGO2,False,66.4613,25,42
AGO3,False,12.5971,24,188
AGPAT1,False,9.51263,40,261
AGPAT2,False,19.6911,21,115
AGPAT3,False,13.6524,21,163
AGPAT4,False,22.1328,106,207
AGPAT5,False,23.1536,19,97
AGPS,False,15.4837,40,163
AGRN,False,20.2814,46,126
AGTRAP,False,48.6693,13,47
AHCTF1,False,7.6963,114,584
AHCY,False,93.2649,766,198
AHCYL1,False,9.4667,51,314
AHDC1,False,13.8477,22,170
AHI1,False,22.424,27,120
AHNAK,False,5.00698,28,531
AHR,False,18.3144,20,128
AHRR,False,19.2014,39,145
AHSA1,False,30.9455,32,73
AHSA2,False,9.71196,22,236
AHSP,False,19.198,28,132
AIDA,False,12.286,25,244
AIF1,False,9.05314,26,251
AIFM1,False,17.6789,27,150
AIFM2,False,12.3025,26,172
AIG1,False,20.9615,8,106
AIMP1,False,7.76397,23,283
AIMP2,False,12.9719,32,182
AIP,False,64.2719,21,34
AIRE,False,16.0615,29,155
AK1,False,11.0543,16,201
AK2,False,11.1943,28,210
AK3,False,12.5388,29,184
AK4,False,11.9556,17,173
AKAP1,True,19.4426,28,126
AKAP11,False,35.2417,41,84
AKAP13,False,9.54764,35,259
AKAP17A,False,32.745,34,81
AKAP8,False,13.0847,24,184
AKAP8L,False,25.4893,77,139
AKAP9,False,15.9724,14,156
AKIP1,False,28.2243,24,87
AKIRIN1,True,24.5685,54,126
AKIRIN2,False,15.5692,123,277
AKNA,False,5.41891,17,417
AKR1A1,False,35.5346,42,76
AKR1C1,False,18.4499,24,122
AKR1C2,False,12.1183,33,208
AKR1E2,False,11.3329,21,182
AKR7A2,False,10.2105,30,254
AKT1,False,11.312,42,228
AKT1S1,False,12.3934,28,193
AKT2,True,46.6639,130,105
ALAD,False,22.4074,79,222
ALAS1,False,43.0557,133,108
ALAS2,False,49.9791,16,47
ALDH16A1,False,29.5253,21,78
ALDH18A1,False,16.0259,58,195
ALDH1A1,False,13.3309,15,173
ALDH1A2,False,9.93171,21,202
ALDH1B1,False,11.9636,61,269
ALDH2,False,8.91724,21,276
ALDH4A1,False,9.92387,27,229
ALDH5A1,False,10.8139,19,201
ALDH9A1,False,10.3195,15,201
ALDOA,False,65.3377,348,133
ALDOC,False,39.8615,23,71
ALG1,False,15.0036,37,182
ALG11,False,12.988,75,277
ALG12,True,15.3969,33,168
ALG13,False,33.6625,263,327
ALG14,False,18.0463,119,285
ALG1L,False,6.15006,22,378
ALG2,False,18.3743,185,372
ALG3,False,14.1528,36,183
ALG5,False,10.4475,31,224
ALG6,False,10.6056,22,248
ALG8,False,15.9418,22,139
ALG9,False,26.5763,25,97
ALKBH2,False,14.2132,15,164
ALKBH3,False,9.22309,31,252
ALKBH4,False,16.6112,15,145
ALKBH5,False,22.1525,49,143
ALKBH6,False,14.3291,13,178
ALKBH7,False,8.42082,22,274
ALKBH8,False,15.6858,106,245
ALMS1,False,15.1032,17,171
ALS2,False,47.7846,17,50
ALX1,False,27.3869,23,76
ALX3,False,17.572,38,129
ALX4,False,8.47763,23,262
ALYREF,False,9.75324,72,312
AMBRA1,False,14.6388,95,249
AMD1,False,90.9798,35,29
AMDHD2,False,16.8988,25,133
AMFR,False,9.05179,26,292
AMH,False,7.80513,16,280
AMHR2,False,12.6209,30,184
AMMECR1,False,23.3711,95,205
AMN1,False,20.9935,24,98
AMOTL1,False,24.8854,19,99
AMPD2,False,3.33925,22,616
AMPD3,False,27.5259,24,85
AMZ2,False,11.4619,24,228
ANAPC1,False,24.7022,33,114
ANAPC10,False,122.208,21,15
ANAPC11,False,11.0541,15,195
ANAPC13,False,11.4821,37,257
ANAPC15,False,2.16512,41,1091
ANAPC16,False,19.9494,9,110
ANAPC2,False,15.2382,26,166
ANAPC4,False,125.958,16,12
ANAPC5,False,69.0687,17,45
ANAPC7,False,19.3726,51,160
ANGEL2,False,23.8434,31,110
ANGPT1,False,11.4172,21,185
ANHX,False,10.2351,24,210
ANK1,False,27.2846,29,99
ANK3,False,50.8921,14,48
ANKFY1,False,13.6337,64,220
ANKHD1,False,13.5614,38,191
ANKIB1,False,34.6674,18,67
ANKLE1,False,26.994,16,85
ANKLE2,False,9.32444,30,288
ANKMY1,False,16.0462,16,162
ANKMY2,False,16.5488,24,173
ANKRA2,False,28.1839,54,123
ANKRD10,False,12.5689,16,163
ANKRD11,False,22.1955,562,563
ANKRD12,False,11.4342,31,206
ANKRD13A,False,41.6934,23,59
ANKRD13B,False,4.94533,40,495
ANKRD13C,False,19.0075,22,132
ANKRD13D,False,10.1193,86,337
ANKRD16,False,23.2029,44,131
ANKRD17,False,73.6786,243,77
ANKRD26,False,9.1828,13,229
ANKRD27,False,12.4799,65,245
ANKRD28,False,28.4705,16,79
ANKRD33B,False,9.23435,18,237
ANKRD36,False,15.4595,23,153
ANKRD36C,False,22.0098,23,103
ANKRD39,False,93.0182,301,78
ANKRD40,False,6.4474,20,346
ANKRD46,False,6.18021,15,362
ANKRD49,False,12.0165,45,311
ANKRD52,True,118.894,20,13
ANKRD54,False,29.0754,23,82
ANKRD9,False,19.6612,34,142
ANKS1A,False,27.8884,30,89
ANKS3,False,12.3667,41,210
ANKS6,False,10.0782,33,220
ANKZF1,True,9.93898,22,252
ANLN,False,13.5476,32,166
ANO10,False,9.29733,16,241
ANO6,False,18.3568,26,134
ANP32A,False,26.481,13,95
ANP32B,True,22.2059,201,260
ANP32E,False,16.2439,27,154
ANTKMT,False,12.1669,26,211
ANTXR2,False,13.6513,14,171
ANXA1,False,20.2999,23,119
ANXA11,False,15.9773,26,133
ANXA2,False,11.449,44,221
ANXA2R,False,23.1011,11,100
ANXA3,False,10.1762,19,217
ANXA4,False,24.7805,52,126
ANXA5,False,7.84786,27,264
ANXA6,False,9.64027,16,238
ANXA7,False,22.4474,75,159
AOPEP,False,18.4526,21,140
AP1AR,False,9.87354,16,241
AP1B1,False,7.26444,31,443
AP1G1,False,16.0595,34,169
AP1G2,False,9.55145,44,236
AP1M1,False,11.4896,25,211
AP1S1,False,15.8832,25,158
AP1S2,False,13.1367,25,179
AP2A1,False,60.1873,267,90
AP2A2,True,11.2138,21,193
AP2B1,False,20.9381,83,228
AP2M1,False,4.03919,24,572
AP2S1,False,40.1827,263,169
AP3B1,False,14.4716,44,206
AP3D1,False,22.8087,31,102
AP3M1,False,28.7666,19,85
AP3M2,False,22.7792,122,184
AP3S1,False,15.1186,73,318
AP3S2,False,14.6904,19,157
AP4B1,False,19.505,23,122
AP4M1,False,20.5022,49,134
AP4S1,False,30.4605,40,90
AP5B1,False,39.0142,34,74
AP5M1,False,11.5075,17,208
AP5S1,False,17.1634,32,130
AP5Z1,False,12.5079,40,234
APAF1,False,8.36127,27,261
APBA2,False,8.80083,20,246
APBA3,False,7.86545,18,288
APBB3,False,43.4204,32,63
APC,False,6.93843,35,361
APEH,False,31.7336,63,84
APEX1,False,10.4991,20,206
APEX2,False,22.7183,25,94
APH1A,False,13.0108,20,166
APH1B,False,13.3348,27,185
API5,True,13.5208,58,206
APIP,False,17.6152,35,188
APLP1,False,14.4507,30,176
APLP2,False,9.80775,31,242
APMAP,False,10.9333,25,217
APOBEC3B,False,12.461,14,187
APOBEC3C,False,10.6126,19,224
APOBEC3G,False,7.26541,23,291
APOBR,False,12.0237,30,178
APOC1,False,8.45816,25,265
APOE,False,17.6494,28,129
APOL2,False,14.2378,40,176
APOM,False,27.0091,63,160
APOO,False,14.9361,20,144
APOOL,False,18.935,22,115
APPBP2,False,24.3267,43,103
APPL1,False,19.6587,28,117
APRT,False,21.9431,27,119
APTX,False,10.6236,30,248
AQP10,False,13.7567,26,161
AQP3,False,9.02977,36,292
AQP7,False,9.60406,19,260
AQR,False,111.174,41,19
AR,False,24.1138,67,117
ARAF,False,12.7487,33,222
ARAP1,False,7.48479,16,286
ARCN1,False,9.31496,29,253
AREG,False,22.3546,23,105
AREL1,False,20.316,57,154
ARF1,False,15.3002,41,174
ARF3,False,12.0498,38,268
ARF4,False,11.5888,20,194
ARF5,False,6.10416,56,452
ARF6,False,6.91769,26,357
ARFGAP1,False,12.8851,35,260
ARFGAP2,False,13.5431,17,160
ARFGAP3,False,36.5969,16,73
ARFGEF1,False,16.7498,80,243
ARFGEF2,False,108.654,19,23
ARFIP1,False,9.61853,21,221
ARFIP2,False,37.3437,73,87
ARFRP1,False,5.86438,28,391
ARG2,False,14.4798,17,150
ARGFX,False,14.1449,32,187
ARGLU1,False,26.2991,755,673
ARHGAP1,False,16.756,29,153
ARHGAP11A,False,21.9637,15,109
ARHGAP11B,False,7.60129,28,443
ARHGAP12,False,13.8819,18,167
ARHGAP17,False,26.7194,32,88
ARHGAP18,False,12.6915,16,154
ARHGAP19,False,21.2916,29,105
ARHGAP21,False,6.89353,18,321
ARHGAP22,False,18.2825,59,198
ARHGAP24,False,13.0114,23,173
ARHGAP25,False,12.955,20,171
ARHGAP35,False,14.6366,36,181
ARHGAP4,False,7.84394,33,322
ARHGAP45,False,15.3713,19,149
ARHGAP5,False,7.81106,39,332
ARHGAP6,False,35.5201,227,164
ARHGDIA,False,12.2313,23,179
ARHGDIB,False,10.2313,21,219
ARHGEF1,False,3.89713,39,607
ARHGEF10,False,9.63145,46,350
ARHGEF11,False,12.9331,19,164
ARHGEF12,False,9.63719,22,262
ARHGEF18,False,7.6554,30,321
ARHGEF2,False,19.1233,28,132
ARHGEF25,False,12.3508,29,211
ARHGEF39,False,10.3752,20,219
ARHGEF6,False,33.1261,16,76
ARHGEF7,False,10.9373,17,202
ARHGEF9,False,29.2904,39,82
ARID1A,False,21.5666,167,271
ARID1B,False,4.61318,20,480
ARID2,False,24.1592,122,200
ARID3A,False,62.027,70,54
ARID3B,False,8.68378,37,274
ARID3C,False,10.3234,18,203
ARID4A,False,10.8088,35,251
ARID4B,False,47.8727,49,66
ARID5A,False,10.9093,30,222
ARID5B,False,18.9384,196,260
ARIH1,False,45.6346,152,91
ARIH2,False,20.5946,36,129
ARL1,False,36.2396,99,117
ARL11,False,17.2866,69,192
ARL13B,False,18.7286,28,129
ARL14EP,True,12.3899,47,233
ARL15,False,11.042,61,254
ARL16,False,11.263,15,203
ARL17A,False,11.3998,26,212
ARL2,False,98.745,47,26
ARL2BP,False,5.12324,18,398
ARL3,False,10.5887,34,221
ARL4A,False,11.6152,29,209
ARL4D,False,8.54636,34,333
ARL5A,False,27.3933,17,88
ARL5B,False,13.4511,26,189
ARL6IP1,False,7.63681,19,305
ARL6IP4,False,18.7907,23,137
ARL6IP5,False,12.5212,22,179
ARL6IP6,False,16.803,80,211
ARL8A,False,14.6716,58,215
ARL8B,False,10.805,25,227
ARMC1,False,11.7872,41,211
ARMC10,False,11.7403,23,204
ARMC5,False,11.2819,27,204
ARMC6,False,16.8751,21,132
ARMC7,False,40.2419,287,169
ARMC8,False,17.9751,73,182
ARMCX3,False,12.2844,18,196
ARMCX5,False,19.2806,16,134
ARMCX6,False,11.1109,26,215
ARNT,False,26.2653,14,95
ARNT2,False,17.2352,20,115
ARNTL,False,9.79641,17,265
ARNTL2,False,7.36312,22,310
ARPC1A,False,10.1108,19,229
ARPC1B,False,120.74,374,77
ARPC2,False,5.07179,38,483
ARPC3,False,6.43126,21,342
ARPC4,False,22.6183,302,381
ARPC4-TTLL3,False,6.41327,26,355
ARPC5,False,12.2974,20,172
ARPC5L,False,9.94705,20,257
ARPP19,False,9.4465,20,239
ARRB1,False,46.8682,15,55
ARRB2,False,51.6718,179,81
ARRDC1,False,8.9762,31,244
ARRDC2,False,5.55275,13,386
ARRDC3,False,17.9899,30,129
ARRDC4,False,21.0467,188,266
ARSK,False,16.1329,22,158
ARV1,False,13.1225,22,179
ARVCF,False,5.49256,44,445
ARX,False,4.74226,21,439
ASAH1,False,11.4694,29,208
ASAH2B,False,12.7504,44,217
ASAP1,False,13.2736,46,251
ASAP3,False,11.2261,28,221
ASB1,False,10.1656,56,283
ASB13,False,5.00906,38,659
ASB3,False,10.2733,33,245
ASB6,False,40.9251,121,112
ASB7,False,62.2474,14,34
ASB8,False,111.834,10,10
ASCC1,False,30.4477,24,103
ASCC2,True,15.6575,54,182
ASCC3,False,127.307,475,128
ASCL1,False,10.1069,21,227
ASCL2,False,12.2833,25,186
ASCL3,False,63.0369,19,39
ASCL4,False,18.4859,21,142
ASCL5,False,26.0171,23,89
ASF1A,False,12.7806,39,200
ASF1B,False,3.75702,38,680
ASH1L,False,7.25429,21,306
ASH2L,False,45.421,56,66
ASIC4,False,9.54879,35,293
ASL,False,25.1241,28,110
ASMTL,False,31.4716,20,79
ASNS,False,20.4563,26,144
ASNSD1,False,10.5098,33,240
ASPH,False,23.3754,155,224
ASPM,False,7.8197,23,286
ASPSCR1,False,17.3568,24,131
ASRGL1,False,8.59415,24,287
ASXL1,False,16.7404,103,307
ASXL2,False,11.0691,23,249
ATAD1,False,14.992,24,157
ATAD2,False,39.7171,15,67
ATAD2B,False,16.2796,30,164
ATAD3A,False,44.88,88,72
ATAD3B,False,31.8748,24,75
ATAD5,False,22.2703,132,181
ATE1,False,11.7757,36,226
ATF1,False,7.34416,40,348
ATF2,False,12.6186,27,188
ATF3,False,8.0519,32,310
ATF4,False,36.8387,102,103
ATF5,False,130.441,311,50
ATF6,False,19.5564,30,127
ATF6B,False,13.2587,16,194
ATF7,False,76.1276,23,28
ATF7IP,False,8.11821,36,333
ATF7IP2,False,25.4364,94,163
ATG10,False,15.9536,21,144
ATG12,False,56.1187,31,44
ATG13,False,14.9674,11,134
ATG16L1,False,34.6,62,100
ATG2A,False,18.9788,24,120
ATG2B,False,30.1468,20,79
ATG3,False,19.5399,52,193
ATG4A,False,18.7179,18,118
ATG4B,False,11.6682,22,187
ATG4C,False,13.3286,38,173
ATG4D,False,16.0112,23,133
ATG5,False,15.5728,50,180
ATG7,False,10.0375,52,281
ATG9A,False,14.1386,16,147
ATIC,False,68.8151,223,74
ATL2,False,19.5421,42,157
ATL3,False,15.6806,26,168
ATM,False,15.7475,28,157
ATMIN,False,17.753,36,144
ATN1,False,10.8602,18,192
ATOH1,False,12.8156,28,193
ATOH7,False,23.3223,12,113
ATOH8,False,9.63896,22,241
ATOX1,False,20.6483,46,128
ATP11A,False,9.53888,39,271
ATP11B,False,37.4223,197,193
ATP11C,False,55.3515,19,47
ATP13A1,False,33.2879,20,74
ATP13A2,False,5.84972,27,382
ATP13A3,False,19.088,16,122
ATP1A1,False,95.1028,568,118
ATP1B3,False,29.2583,128,133
ATP23,False,15.4428,40,184
ATP2A2,False,8.71341,50,297
ATP2A3,False,14.2772,26,166
ATP2B1,False,16.4076,43,148
ATP2B4,False,38.3485,16,71
ATP2C1,False,35.3062,36,91
ATP5F1A,False,26.8854,126,175
ATP5F1B,False,62.2787,239,98
ATP5F1C,False,65.4649,137,73
ATP5F1D,False,22.531,72,159
ATP5F1E,False,84.83,17,25
ATP5IF1,False,20.3971,16,108
ATP5MC1,False,11.503,39,294
ATP5MC2,False,19.9185,28,112
ATP5MC3,False,20.3302,36,133
ATP5MD,False,39.5895,114,86
ATP5ME,False,29.9863,198,183
ATP5MF,False,19.669,265,375
ATP5MG,False,39.302,115,92
ATP5MPL,False,104.695,57,34
ATP5PB,False,96.3186,45,36
ATP5PD,False,73.8977,341,110
ATP5PF,False,27.5218,62,115
ATP5PO,False,23.536,165,215
ATP6AP1,False,39.2752,229,170
ATP6AP2,False,11.9486,135,384
ATP6V0A1,False,20.1104,43,133
ATP6V0A2,False,23.7187,20,108
ATP6V0B,False,10.8801,64,294
ATP6V0C,False,56.8996,25,42
ATP6V0D1,False,13.7266,51,198
ATP6V0E1,False,14.1963,28,197
ATP6V0E2,False,29.6997,34,86
ATP6V1A,False,172.139,200,29
ATP6V1B2,False,69.2256,294,169
ATP6V1C1,False,56.2836,149,93
ATP6V1D,False,7.35403,36,337
ATP6V1E1,False,12.623,85,283
ATP6V1E2,False,11.947,52,278
ATP6V1F,False,39.9093,112,100
ATP6V1G1,False,25.5703,144,190
ATP6V1H,False,32.0629,128,147
ATP7A,False,9.6928,17,213
ATP7B,False,33.4109,59,103
ATP8B2,False,15.4883,39,189
ATP9B,False,11.5812,13,177
ATPAF1,False,17.251,24,148
ATPAF2,False,10.0432,46,264
ATPSCKMT,False,39.521,39,70
ATR,False,105.432,196,78
ATRAID,False,16.9319,23,144
ATRIP,False,69.7285,402,164
ATRX,False,10.4871,95,413
ATXN10,False,58.2199,219,75
ATXN1L,False,41.7049,159,109
ATXN2,False,21.6261,51,121
ATXN2L,False,20.3974,39,139
ATXN3,False,7.36323,21,342
ATXN7,False,6.16815,62,481
ATXN7L1,False,14.9231,18,165
ATXN7L3,False,9.30943,73,318
ATXN7L3B,False,18.8116,13,132
AUH,False,15.0509,16,144
AUNIP,False,11.2297,21,262
AUP1,False,11.7118,32,238
AURKA,False,96.1602,58,24
AURKAIP1,False,20.5702,58,129
AURKB,False,57.4554,28,40
AVEN,False,22.3527,33,152
AVL9,False,9.04437,55,310
AVPI1,False,10.5172,21,201
AXIN1,False,20.4584,26,124
AXL,False,11.8492,39,236
AZI2,False,14.8915,24,159
AZIN1,False,73.8625,20,31
B2M,False,8.44768,22,277
B3GALNT2,False,11.6315,27,185
B3GALT6,False,10.3306,32,261
B3GAT3,False,10.8105,27,213
B3GNT2,False,12.5445,20,163
B3GNT5,False,38.9698,16,62
B3GNTL1,False,11.5075,23,217
B4GALNT1,False,71.9691,40,39
B4GALNT4,False,7.99275,26,304
B4GALT1,False,19.1299,39,140
B4GALT2,False,9.65338,20,219
B4GALT3,False,19.3913,77,173
B4GALT4,False,8.29738,22,287
B4GALT5,False,17.6541,52,179
B4GALT7,False,17.5887,24,146
B9D1,False,13.9134,25,182
B9D2,False,25.8071,21,94
BABAM1,False,15.4842,34,171
BABAM2,False,30.0835,40,112
BACH1,False,12.1473,24,192
BACH2,False,6.80791,28,318
BAD,False,8.34341,41,361
BAG1,False,18.3987,61,196
BAG2,False,28.4027,29,93
BAG3,False,7.45431,28,333
BAG4,False,15.8597,20,161
BAG5,False,29.5657,42,78
BAG6,False,47.3504,203,199
BAHCC1,False,9.68379,25,256
BAHD1,False,10.1121,55,316
BAIAP2,False,6.70082,21,363
BAIAP2L1,False,12.5437,29,193
BAK1,False,24.1484,40,92
BAMBI,False,32.2346,58,107
BANF1,False,8.70078,27,287
BANP,False,20.7341,170,238
BAP1,False,121.924,1164,371
BARD1,False,7.68745,27,328
BARHL1,False,24.8509,39,120
BARHL2,False,12.6657,22,193
BARX1,False,20.7516,17,119
BARX2,False,17.7702,19,135
BATF,False,11.4824,45,235
BATF2,False,10.9049,20,196
BATF3,False,12.5824,26,194
BAX,False,5.93716,22,382
BAZ1A,False,18.1223,57,202
BAZ1B,False,10.7382,35,224
BAZ2A,False,6.70431,24,341
BAZ2B,False,6.11887,31,389
BBC3,False,16.2188,21,145
BBIP1,False,10.6531,21,231
BBS1,False,14.9821,20,142
BBS2,False,6.75097,22,318
BBS4,False,9.8972,25,233
BBS7,False,8.0175,20,276
BBX,False,11.7595,29,196
BCAP29,False,44.0641,16,54
BCAP31,False,14.9048,68,211
BCAR1,False,4.54175,27,535
BCAS2,False,72.3211,420,119
BCAT1,False,13.9649,18,165
BCAT2,False,16.5737,16,126
BCCIP,False,73.829,154,52
BCKDHA,False,8.97711,28,266
BCKDHB,False,18.9962,16,114
BCKDK,True,8.35865,24,293
BCL10,False,10.9045,17,236
BCL11A,False,17.7967,24,138
BCL11B,False,15.305,13,152
BCL2L1,False,7.42082,44,375
BCL2L11,False,9.73426,28,252
BCL2L12,False,22.1415,36,121
BCL2L13,False,11.348,30,198
BCL2L2,False,15.3276,23,186
BCL6,True,15.4862,22,155
BCL6B,False,15.1833,29,149
BCL7A,False,12.1424,37,220
BCL7B,False,48.6571,28,46
BCL7C,True,20.686,16,119
BCLAF1,False,19.7813,47,144
BCOR,False,10.5558,29,225
BCORL1,False,13.6123,30,212
BCR,False,19.9008,145,261
BCS1L,False,13.2926,40,209
BDH2,False,17.5021,19,141
BDP1,False,32.6944,247,184
BECN1,False,18.4843,14,130
BEND6,False,25.1256,136,186
BEST1,False,5.0273,40,529
BET1,False,55.0308,163,94
BET1L,False,8.2664,43,311
BEX2,False,12.8479,27,179
BEX4,False,29.2282,15,79
BFAR,False,11.0725,34,218
BGLAP,False,84.6994,308,91
BHLHA15,False,16.3585,35,161
BHLHA9,False,12.0604,56,300
BHLHE22,False,9.32773,18,212
BHLHE23,False,11.1027,17,218
BHLHE40,False,10.1752,123,424
BHLHE41,False,24.7667,24,93
BICD1,False,9.00961,29,340
BICD2,False,7.18248,24,312
BID,False,11.7598,17,185
BIN3,False,9.93879,21,223
BIRC2,False,12.1765,36,270
BIRC5,False,51.7196,25,41
BIRC6,False,11.4586,33,230
BIVM,False,8.76165,30,320
BLCAP,False,10.425,32,231
BLM,False,26.0144,53,106
BLMH,False,7.11081,25,311
BLOC1S1,False,34.2364,25,76
BLOC1S2,False,36.2725,28,70
BLOC1S3,False,5.6674,18,412
BLOC1S4,False,17.4203,15,131
BLOC1S5,False,7.53375,28,304
BLOC1S6,False,13.7635,15,157
BLVRA,False,9.63985,29,264
BLVRB,False,9.14182,40,267
BLZF1,False,10.7071,34,278
BMI1,False,9.70165,20,220
BMP1,False,14.6296,11,157
BMP2K,False,83.8595,320,80
BMPR2,False,12.4013,25,197
BMS1,False,147.159,148,23
BNC1,False,19.0333,14,130
BNC2,False,18.283,18,136
BNIP1,False,49.2278,363,170
BNIP2,False,8.35576,29,292
BNIP3,False,18.6212,19,135
BNIP3L,False,4.18289,18,575
BOD1,False,17.5091,26,126
BOD1L1,False,18.5247,297,434
BOLA1,False,7.72322,27,323
BOLA2,False,14.8434,147,307
BOLA3,False,10.6336,30,216
BOP1,False,6.43393,95,492
BORA,False,59.5144,82,63
BPGM,False,17.036,43,167
BPHL,False,74.9058,16,31
BPNT1,False,16.0907,15,133
BPTF,False,25.3599,41,104
BRAF,False,16.241,29,161
BRAP,False,11.7724,19,198
