target,chunk,n_cells,in_panel,on_official_axis
IFNAR2,0,972.0,True,True
IFNGR2,0,1659.0,True,True
IL10RB,0,1148.0,True,True
IREB2,0,688.0,True,True
KDM5A,0,680.0,True,True
KHDRBS1,0,627.0,True,True
KHSRP,0,548.0,True,True
KIF21B,0,131.0,True,True
KIF2A,0,1738.0,True,True
KMT2A,0,78.0,True,True
LDLR,0,336.0,True,True
LMAN1,0,570.0,True,True
LMBRD2,0,820.0,True,True
LPCAT3,0,1962.0,True,True
MAN2A1,0,1790.0,True,True
MAP2K2,0,3287.0,True,True
MAPK12,0,2797.0,True,True
MAPK7,0,1484.0,True,True
MARCKSL1,0,2266.0,True,True
MBD4,0,1705.0,True,True
MED13,0,3895.0,True,True
MED15,0,3313.0,True,True
MED25,0,1994.0,True,True
MLKL,0,5881.0,True,True
MLLT10,0,2283.0,True,True
MSANTD4,0,805.0,True,True
MSI2,0,2811.0,True,True
MTA1,0,1817.0,True,True
MTF1,0,91.0,True,True
MTHFSD,0,2253.0,True,True
MTM1,0,4237.0,True,True
MYD88,0,1622.0,True,True
MYPOP,0,308.0,True,True
MYRF,0,5279.0,True,True
NABP2,0,2073.0,True,True
NAIF1,0,1982.0,True,True
NCLN,0,2004.0,True,True
NFE2L1,0,543.0,True,True
NGLY1,0,428.0,True,True
NIPAL3,0,2371.0,True,True
NIPSNAP3A,0,1057.0,True,True
NT5DC1,0,2791.0,True,True
NUP37,0,981.0,True,True
PAN2,0,1919.0,True,True
PAPOLA,0,1344.0,True,True
PARP3,0,475.0,True,True
PATL1,0,653.0,True,True
PBLD,0,1898.0,True,True
PCGF1,0,4639.0,True,True
PCGF6,0,827.0,True,True
PDCD4,0,1383.0,True,True
PDE6D,0,602.0,True,True
PDK1,0,781.0,True,True
PDK3,0,2721.0,True,True
PGLS,0,184.0,True,True
PHF11,0,1296.0,True,True
PHF19,0,409.0,True,True
PHF23,0,791.0,True,True
PHF8,0,1099.0,True,True
PI4KB,0,442.0,True,True
PIM2,0,2113.0,True,True
PIN1,0,140.0,True,True
PINK1,0,1777.0,True,True
PKN3,0,2039.0,True,True
PLAGL2,0,228.0,True,True
PLCG1,0,1125.0,True,True
PNP,0,2009.0,True,True
POLD4,0,2434.0,True,True
POR,0,1263.0,True,True
PPIF,0,936.0,True,True
PPIP5K2,0,4694.0,True,True
PQBP1,0,729.0,True,True
PRDX3,0,4066.0,True,True
PRKAB2,0,1722.0,True,True
PRKACA,0,2948.0,True,True
PRMT2,0,1133.0,True,True
PRMT6,0,821.0,True,True
PRMT7,0,192.0,True,True
PRNP,0,1645.0,True,True
PSKH1,0,3860.0,True,True
PSMB9,0,1858.0,True,True
PTMS,0,1654.0,True,True
PTOV1,0,1858.0,True,True
PYCR1,0,786.0,True,True
R3HCC1L,0,1413.0,True,True
RAB11FIP5,0,1452.0,True,True
RAB5A,0,1606.0,True,True
RABEP2,0,2396.0,True,True
RBM18,0,706.0,True,True
RBM26,0,742.0,True,True
RBM4B,0,2864.0,True,True
RBM5,0,1652.0,True,True
RC3H2,0,1362.0,True,True
REV1,0,107.0,True,True
RFK,0,699.0,True,True
RNF10,0,1126.0,True,True
RNF141,0,2167.0,True,True
RNF2,0,744.0,True,True
RSRC1,0,1518.0,True,True
S100A11,0,1222.0,True,True
SAP30L,0,1252.0,True,True
SCAF8,0,917.0,True,True
SEMA4F,0,644.0,True,True
SFXN4,0,2769.0,True,True
SH2D3A,0,2687.0,True,True
SHPRH,0,2088.0,True,True
SIN3B,0,2550.0,True,True
SLC25A13,0,1289.0,True,True
SLC39A1,0,4303.0,True,True
SLC44A1,0,1359.0,True,True
SLIRP,0,1176.0,True,True
SMARCA5,0,471.0,True,True
SMARCC2,0,707.0,True,True
SMYD2,0,973.0,True,True
SND1,0,1060.0,True,True
SNN,0,1597.0,True,True
SNRK,0,1125.0,True,True
SNX4,0,1398.0,True,True
SOCS5,0,549.0,True,True
SPATA20,0,968.0,True,True
SRSF5,0,4427.0,True,True
SSR4,0,2994.0,True,True
STAT6,0,2035.0,True,True
STK3,0,50.0,True,True
STT3A,0,1340.0,True,True
SUPT7L,0,7107.0,True,True
SYVN1,0,778.0,True,True
TAF15,0,1478.0,True,True
TAF4,0,31.0,True,True
TARBP2,0,1111.0,True,True
TBC1D13,0,1661.0,True,True
TBC1D19,0,883.0,True,True
TBCK,0,1823.0,True,True
TDRD7,0,789.0,True,True
TEAD4,0,2476.0,True,True
TESK2,0,4999.0,True,True
TEX2,0,2232.0,True,True
TFCP2,0,1160.0,True,True
THAP3,0,1911.0,True,True
THAP7,0,2225.0,True,True
TIMM17B,0,647.0,True,True
TIMM50,0,136.0,True,True
TMCO6,0,1380.0,True,True
TMED3,0,1703.0,True,True
TMEM104,0,2074.0,True,True
TMEM147,0,2414.0,True,True
TMEM186,0,2005.0,True,True
TMEM209,0,2251.0,True,True
TMEM41B,0,1071.0,True,True
TMEM79,0,1064.0,True,True
TMF1,0,1977.0,True,True
TRAPPC6A,0,1840.0,True,True
TRIB3,0,991.0,True,True
TRIM35,0,1347.0,True,True
TRIP4,0,921.0,True,True
TRMT1,0,1691.0,True,True
TRPC4AP,0,2548.0,True,True
TTBK2,0,1399.0,True,True
TWF2,0,4219.0,True,True
TXNDC16,0,2856.0,True,True
UNK,0,967.0,True,True
UPF3B,0,206.0,True,True
UROS,0,722.0,True,True
USP28,0,3816.0,True,True
VAPB,0,2871.0,True,True
VIM,0,12395.0,True,True
WBP4,0,605.0,True,True
YIPF6,0,1744.0,True,True
ZBTB34,0,790.0,True,True
ZBTB41,0,2804.0,True,True
ZBTB48,0,2539.0,True,True
ZC2HC1A,0,1073.0,True,True
ZC3HAV1,0,4504.0,True,True
ZDHHC12,0,416.0,True,True
ZDHHC4,0,884.0,True,True
ZFP62,0,1619.0,True,True
ZHX3,0,858.0,True,True
ZKSCAN1,0,1748.0,True,True
ZKSCAN2,0,981.0,True,True
ZKSCAN3,0,576.0,True,True
ZNF16,0,1943.0,True,True
ZNF174,0,3310.0,True,True
ZNF219,0,366.0,True,True
ZNF22,0,1704.0,True,True
ZNF25,0,3344.0,True,True
ZNF251,0,2483.0,True,True
ZNF280C,0,2716.0,True,True
ZNF282,0,3293.0,True,True
ZNF32,0,1288.0,True,True
ZNF324,0,1611.0,True,True
ZNF397,0,955.0,True,True
ZNF410,0,3553.0,True,True
ZNF444,0,2842.0,True,True
ZNF462,0,1788.0,True,True
ZNF496,0,2668.0,True,True
ZNF507,0,1474.0,True,True
ZNF514,0,3702.0,True,True
ZNF526,0,967.0,True,True
ZNF530,0,1770.0,True,True
ZNF543,0,1325.0,True,True
ZNF627,0,3217.0,True,True
ZNF628,0,608.0,True,True
ZNF641,0,2185.0,True,True
ZNF670,0,944.0,True,True
ZNF714,0,1815.0,True,True
ZNF740,0,1044.0,True,True
ZNF768,0,594.0,True,True
ZNF777,0,1802.0,True,True
ZNF783,0,1874.0,True,True
ZNF784,0,2919.0,True,True
ZNF786,0,1080.0,True,True
ZNF821,0,873.0,True,True
ZRANB3,0,1361.0,True,True
A1BG,1,2312.0,False,False
A2M,1,894.0,False,True
AAAS,1,2161.0,False,True
AACS,1,2039.0,False,True
AAGAB,1,1652.0,False,True
AAK1,1,3526.0,False,True
AAMDC,1,926.0,False,True
AAMP,1,12.0,False,True
AAR2,1,145.0,False,True
AARS2,1,214.0,False,True
AARSD1,1,2220.0,False,True
AASDH,1,1743.0,False,True
AASDHPPT,1,441.0,False,True
AASS,1,1389.0,False,True
AATF,1,314.0,False,True
ABAT,1,527.0,False,True
ABCA1,1,673.0,False,True
ABCA2,1,855.0,False,True
ABCA3,1,411.0,False,True
ABCA5,1,2487.0,False,True
ABCA7,1,695.0,False,True
ABCB1,1,2759.0,False,True
ABCB6,1,605.0,False,True
ABCB7,1,23.0,False,True
ABCB8,1,1481.0,False,True
ABCB9,1,801.0,False,True
ABCC1,1,1752.0,False,True
ABCC10,1,1582.0,False,False
ABCC2,1,1806.0,False,True
ABCC3,1,1305.0,False,True
ABCC4,1,771.0,False,True
ABCC5,1,1130.0,False,True
ABCC8,1,1398.0,False,True
ABCD2,1,729.0,False,True
ABCD3,1,1366.0,False,True
ABCD4,1,1026.0,False,True
ABCE1,1,299.0,False,True
ABCF1,1,42.0,False,True
ABCF2,1,936.0,False,True
ABCF3,1,1378.0,False,True
ABCG1,1,802.0,False,True
ABHD10,1,2879.0,False,True
ABHD11,1,1117.0,False,True
ABHD12,1,1378.0,False,True
ABHD13,1,1924.0,False,True
ABHD14A,1,1464.0,False,True
ABHD14B,1,4484.0,False,True
ABHD15,1,92.0,False,True
ABHD16A,1,923.0,False,True
ABHD16B,1,1234.0,False,True
ABHD17A,1,1265.0,False,True
ABHD17B,1,1507.0,False,True
ABHD18,1,2103.0,False,True
ABHD2,1,1090.0,False,True
ABHD3,1,2592.0,False,True
ABHD4,1,2508.0,False,True
ABHD5,1,2480.0,False,True
ABHD6,1,1179.0,False,True
ABHD8,1,807.0,False,True
ABI1,1,1223.0,False,True
ABI2,1,832.0,False,True
ABI3,1,330.0,False,True
ABITRAM,1,696.0,False,True
ABL1,1,1337.0,False,True
ABL2,1,2905.0,False,True
ABLIM1,1,1602.0,False,True
ABLIM3,1,1066.0,False,True
ABR,1,579.0,False,True
ABRACL,1,1988.0,False,True
ABRAXAS1,1,1634.0,False,True
ABRAXAS2,1,2404.0,False,True
ABT1,1,187.0,False,True
ABTB1,1,3128.0,False,True
ABTB2,1,2249.0,False,True
ABTB3,1,2494.0,False,False
ACAA1,1,1494.0,False,True
ACAA2,1,2517.0,False,True
ACACA,1,2909.0,False,True
ACACB,1,4303.0,False,True
ACAD10,1,4254.0,False,True
ACAD11,1,1237.0,False,True
ACAD8,1,1629.0,False,True
ACAD9,1,2505.0,False,True
ACADM,1,2845.0,False,True
ACADS,1,918.0,False,True
ACADSB,1,2651.0,False,True
ACADVL,1,1072.0,False,True
ACAP1,1,2067.0,False,True
ACAP2,1,1528.0,False,True
ACAP3,1,1372.0,False,True
ACAT1,1,2137.0,False,True
ACAT2,1,1400.0,False,True
ACBD3,1,1661.0,False,True
ACBD4,1,331.0,False,True
ACBD5,1,3721.0,False,True
ACBD6,1,1744.0,False,True
ACCS,1,1891.0,False,True
ACD,1,51.0,False,True
ACE,1,1057.0,False,True
ACER1,1,1393.0,False,True
ACER2,1,3556.0,False,False
ACER3,1,2885.0,False,True
ACIN1,1,692.0,False,True
ACKR3,1,2459.0,False,True
ACO1,1,1524.0,False,True
ACO2,1,529.0,False,True
ACOT13,1,2002.0,False,True
ACOT2,1,2254.0,False,True
ACOT4,1,2130.0,False,True
ACOT7,1,1702.0,False,True
ACOT8,1,3304.0,False,True
ACOT9,1,1256.0,False,True
ACOX1,1,1800.0,False,True
ACOX3,1,2227.0,False,True
ACP1,1,2146.0,False,True
ACP2,1,3098.0,False,True
ACP5,1,1317.0,False,True
ACP6,1,2095.0,False,True
ACRBP,1,1301.0,False,False
ACSF2,1,4081.0,False,True
ACSF3,1,1681.0,False,True
ACSL1,1,648.0,False,True
ACSL3,1,1666.0,False,True
ACSL4,1,2209.0,False,True
ACSL5,1,5523.0,False,True
ACSL6,1,360.0,False,True
ACSM3,1,5252.0,False,True
ACSS1,1,3222.0,False,True
ACSS2,1,2452.0,False,True
ACTA2,1,1765.0,False,True
ACTB,1,1929.0,False,True
ACTG1,1,446.0,False,True
ACTL6A,1,10.0,False,True
ACTMAP,1,1170.0,False,False
ACTN1,1,977.0,False,True
ACTN4,1,1315.0,False,True
ACTR1A,1,2014.0,False,True
ACTR1B,1,1059.0,False,True
ACTR2,1,647.0,False,True
ACTR3,1,751.0,False,True
ACTR3B,1,153.0,False,True
ACTR3C,1,1358.0,False,True
ACTR5,1,3688.0,False,True
ACTR8,1,437.0,False,True
ACVR1,1,838.0,False,True
ACVR1B,1,1949.0,False,True
ACVR1C,1,3220.0,False,True
ACVR2A,2,3038.0,False,True
ACVR2B,2,1336.0,False,True
ACY1,2,2140.0,False,True
ACYP1,2,821.0,False,True
ACYP2,2,2016.0,False,True
ADA,2,1417.0,False,True
ADA2,2,866.0,False,True
ADAM10,2,112.0,False,True
ADAM12,2,3926.0,False,True
ADAM15,2,965.0,False,True
ADAM17,2,3091.0,False,True
ADAM19,2,646.0,False,True
ADAM22,2,1531.0,False,True
ADAM23,2,1893.0,False,True
ADAM28,2,2081.0,False,True
ADAM8,2,1603.0,False,True
ADAM9,2,961.0,False,True
ADAMTS1,2,692.0,False,True
ADAMTS10,2,2963.0,False,True
ADAMTS17,2,2068.0,False,True
ADAMTS6,2,4814.0,False,True
ADAMTSL5,2,1106.0,False,True
ADAP1,2,1703.0,False,True
ADAR,2,246.0,False,True
ADARB1,2,1849.0,False,True
ADARB2,2,1418.0,False,True
ADAT1,2,1393.0,False,True
ADAT2,2,918.0,False,True
ADAT3,2,1228.0,False,True
ADCK1,2,1842.0,False,False
ADCK2,2,2164.0,False,True
ADCK5,2,3488.0,False,True
ADCY1,2,2016.0,False,True
ADCY3,2,1753.0,False,True
ADCY4,2,860.0,False,True
ADCY7,2,3360.0,False,True
ADCY9,2,2484.0,False,True
ADD1,2,1715.0,False,True
ADD2,2,1161.0,False,True
ADD3,2,527.0,False,True
ADGRA3,2,1963.0,False,True
ADGRB2,2,800.0,False,True
ADGRE1,2,3060.0,False,True
ADGRE2,2,2686.0,False,True
ADGRE5,2,1773.0,False,True
ADGRG1,2,1014.0,False,True
ADGRG5,2,1305.0,False,True
ADGRL1,2,1602.0,False,True
ADGRV1,2,2884.0,False,True
ADH1B,2,2090.0,False,True
ADH5,2,2126.0,False,True
ADHFE1,2,369.0,False,True
ADI1,2,2269.0,False,True
ADIPOR1,2,2594.0,False,True
ADIPOR2,2,1264.0,False,True
ADIRF,2,3714.0,False,True
ADISSP,2,1760.0,False,False
ADK,2,2703.0,False,True
ADM,2,1211.0,False,True
ADM5,2,5931.0,False,True
ADNP2,2,3608.0,False,True
ADO,2,331.0,False,True
ADORA2A,2,2481.0,False,True
ADORA2B,2,1562.0,False,True
ADPGK,2,2835.0,False,True
ADPRH,2,1019.0,False,True
ADPRM,2,2677.0,False,True
ADPRS,2,748.0,False,False
ADRB2,2,2167.0,False,True
ADRM1,2,938.0,False,True
ADSL,2,29.0,False,True
ADSS2,2,97.0,False,False
ADTRP,2,2851.0,False,True
AEBP1,2,855.0,False,True
AEBP2,2,1660.0,False,True
AEN,2,1713.0,False,True
AFAP1,2,1424.0,False,True
AFAP1L2,2,2519.0,False,True
AFDN,2,1074.0,False,True
AFF1,2,1608.0,False,True
AFF2,2,1667.0,False,True
AFF3,2,1272.0,False,True
AFF4,2,2022.0,False,True
AFG2A,2,242.0,False,False
AFG2B,2,1077.0,False,False
AFG3L2,2,142.0,False,True
AFMID,2,1077.0,False,False
AFTPH,2,1272.0,False,True
AGA,2,1206.0,False,True
AGAP1,2,2074.0,False,True
AGAP2,2,1828.0,False,True
AGAP3,2,3918.0,False,True
AGAP4,2,661.0,False,True
AGAP5,2,2027.0,False,True
AGAP6,2,1957.0,False,False
AGAP9,2,1413.0,False,True
AGBL2,2,2399.0,False,True
AGBL5,2,1040.0,False,True
AGER,2,1124.0,False,True
AGFG1,2,1012.0,False,True
AGFG2,2,1759.0,False,True
AGGF1,2,1755.0,False,True
AGK,2,943.0,False,True
AGL,2,2693.0,False,True
AGMAT,2,1174.0,False,True
AGO2,2,357.0,False,True
AGO3,2,1884.0,False,True
AGO4,2,544.0,False,True
AGPAT1,2,472.0,False,True
AGPAT2,2,1838.0,False,True
AGPAT3,2,798.0,False,True
AGPAT4,2,966.0,False,True
AGPAT5,2,1688.0,False,True
AGPS,2,1770.0,False,True
AGR2,2,2755.0,False,True
AGR3,2,1886.0,False,True
AGRN,2,874.0,False,True
AGTPBP1,2,3923.0,False,True
AGTRAP,2,1221.0,False,True
AHCTF1,2,40.0,False,True
AHCYL1,2,802.0,False,True
AHCYL2,2,713.0,False,True
AHDC1,2,3254.0,False,True
AHI1,2,1954.0,False,True
AHNAK,2,615.0,False,True
AHR,2,3554.0,False,True
AHRR,2,1330.0,False,True
AHSA1,2,3990.0,False,True
AHSP,2,1131.0,False,True
AIDA,2,1315.0,False,True
AIF1,2,2502.0,False,True
AIFM1,2,616.0,False,True
AIFM2,2,2227.0,False,True
AIG1,2,1725.0,False,True
AIM2,2,1401.0,False,True
AIMP1,2,1664.0,False,True
AIMP2,2,1001.0,False,True
AIP,2,1506.0,False,True
AIRE,2,1438.0,False,True
AIRIM,2,1040.0,False,False
AJAP1,2,2258.0,False,True
AK1,2,2110.0,False,True
AK2,2,172.0,False,False
AK3,2,2606.0,False,True
AK4,2,2171.0,False,True
AK5,2,637.0,False,True
AK9,2,2155.0,False,True
AKAP10,2,882.0,False,True
AKAP11,2,569.0,False,True
AKAP12,3,3077.0,False,True
AKAP13,3,3296.0,False,True
AKAP17A,3,2322.0,False,True
AKAP5,3,2172.0,False,True
AKAP7,3,745.0,False,True
AKAP8,3,2460.0,False,True
AKAP8L,3,2038.0,False,True
AKAP9,3,1527.0,False,True
AKIP1,3,538.0,False,True
AKIRIN2,3,640.0,False,True
AKNA,3,3168.0,False,True
AKR1A1,3,1051.0,False,True
AKR1B1,3,1009.0,False,True
AKR1C1,3,343.0,False,True
AKR1C3,3,3295.0,False,True
AKR1E2,3,1592.0,False,True
AKR7A2,3,2553.0,False,True
AKR7A3,3,1922.0,False,False
AKT1,3,2099.0,False,True
AKT1S1,3,2769.0,False,True
AKT3,3,2780.0,False,True
AKTIP,3,931.0,False,True
ALAD,3,308.0,False,True
ALAS1,3,284.0,False,True
ALAS2,3,1928.0,False,True
ALCAM,3,1486.0,False,True
ALDH16A1,3,1913.0,False,True
ALDH18A1,3,1612.0,False,True
ALDH1A1,3,988.0,False,True
ALDH1B1,3,2936.0,False,True
ALDH2,3,1698.0,False,True
ALDH3A2,3,3982.0,False,True
ALDH5A1,3,1502.0,False,True
ALDH6A1,3,244.0,False,True
ALDH7A1,3,3318.0,False,True
ALDH8A1,3,2384.0,False,True
ALDH9A1,3,2023.0,False,True
ALDOA,3,416.0,False,False
ALDOB,3,3540.0,False,True
ALDOC,3,1775.0,False,True
ALG1,3,202.0,False,True
ALG10,3,977.0,False,True
ALG10B,3,3097.0,False,True
ALG13,3,1197.0,False,True
ALG14,3,148.0,False,True
ALG2,3,658.0,False,True
ALG3,3,1236.0,False,True
ALG5,3,948.0,False,True
ALG6,3,2087.0,False,True
ALG8,3,1975.0,False,True
ALG9,3,1709.0,False,True
ALKAL2,3,1847.0,False,True
ALKBH1,3,1497.0,False,True
ALKBH2,3,1159.0,False,True
ALKBH3,3,825.0,False,True
ALKBH4,3,2926.0,False,True
ALKBH5,3,3677.0,False,True
ALKBH6,3,2809.0,False,True
ALKBH7,3,1318.0,False,True
ALKBH8,3,1376.0,False,True
ALMS1,3,1983.0,False,True
ALOX12,3,834.0,False,True
ALOX5,3,1247.0,False,True
ALOX5AP,3,3568.0,False,True
ALPK1,3,2493.0,False,True
ALPL,3,2011.0,False,True
ALS2,3,919.0,False,True
ALS2CL,3,5724.0,False,True
ALX1,3,2307.0,False,True
ALX3,3,4122.0,False,True
ALX4,3,1723.0,False,True
AMBRA1,3,2002.0,False,True
AMD1,3,1040.0,False,True
AMDHD1,3,1989.0,False,True
AMDHD2,3,1910.0,False,True
AMER1,3,975.0,False,True
AMFR,3,2242.0,False,True
AMH,3,1881.0,False,True
AMIGO1,3,2965.0,False,True
AMIGO2,3,1459.0,False,True
AMMECR1,3,674.0,False,True
AMMECR1L,3,57.0,False,True
AMN,3,2276.0,False,True
AMN1,3,1282.0,False,True
AMOT,3,2291.0,False,True
AMPD2,3,3589.0,False,True
AMPD3,3,3963.0,False,True
AMT,3,781.0,False,True
AMY2B,3,1377.0,False,True
AMZ2,3,1168.0,False,True
ANAPC1,3,341.0,False,True
ANAPC10,3,497.0,False,True
ANAPC11,3,237.0,False,True
ANAPC13,3,754.0,False,True
ANAPC15,3,1640.0,False,True
ANAPC16,3,870.0,False,True
ANAPC5,3,191.0,False,True
ANAPC7,3,1814.0,False,True
ANGEL1,3,2712.0,False,True
ANGEL2,3,2978.0,False,True
ANGPT2,3,3830.0,False,False
ANGPTL4,3,1500.0,False,True
ANGPTL6,3,2043.0,False,True
ANHX,3,1192.0,False,True
ANK1,3,1092.0,False,True
ANK3,3,2291.0,False,True
ANKAR,3,1132.0,False,True
ANKDD1A,3,4620.0,False,True
ANKEF1,3,3973.0,False,True
ANKFY1,3,2703.0,False,True
ANKH,3,922.0,False,True
ANKHD1-EIF4EBP3,3,4146.0,False,False
ANKK1,3,1872.0,False,True
ANKLE1,3,2081.0,False,True
ANKLE2,3,467.0,False,True
ANKMY1,3,1681.0,False,True
ANKMY2,3,897.0,False,True
ANKRA2,3,35.0,False,True
ANKRD10,3,628.0,False,True
ANKRD11,3,2467.0,False,True
ANKRD12,3,1622.0,False,True
ANKRD13A,3,4922.0,False,True
ANKRD13B,3,2142.0,False,True
ANKRD13C,3,2074.0,False,True
ANKRD13C-DT,3,4960.0,False,False
ANKRD13D,3,4861.0,False,True
ANKRD16,3,1097.0,False,True
ANKRD17,3,781.0,False,True
ANKRD18A,3,1028.0,False,True
ANKRD23,3,3070.0,False,True
ANKRD26,3,2286.0,False,True
ANKRD27,3,2063.0,False,True
ANKRD28,3,2097.0,False,True
ANKRD31,3,1310.0,False,True
ANKRD33B,3,2515.0,False,True
ANKRD36,3,2933.0,False,True
ANKRD36B,3,3906.0,False,True
ANKRD36C,3,2799.0,False,True
ANKRD37,3,2140.0,False,True
ANKRD39,3,1829.0,False,True
ANKRD40,3,1050.0,False,True
ANKRD42,3,796.0,False,True
ANKRD44,3,1686.0,False,True
ANKRD46,3,1435.0,False,True
ANKRD49,3,574.0,False,True
ANKRD54,3,2447.0,False,True
ANKRD55,3,1649.0,False,True
ANKRD6,4,1786.0,False,True
ANKRD61,4,2850.0,False,True
ANKRD9,4,1873.0,False,True
ANKS1A,4,721.0,False,True
ANKS3,4,322.0,False,True
ANKS6,4,1534.0,False,True
ANLN,4,43.0,False,True
ANO10,4,3905.0,False,True
ANO6,4,3871.0,False,True
ANO8,4,4132.0,False,True
ANO9,4,596.0,False,True
ANP32A,4,910.0,False,True
ANP32E,4,2431.0,False,True
ANPEP,4,2245.0,False,True
ANTKMT,4,1875.0,False,True
ANTXR2,4,2266.0,False,True
ANXA1,4,1528.0,False,True
ANXA11,4,2234.0,False,True
ANXA2,4,1384.0,False,True
ANXA2R,4,1580.0,False,True
ANXA3,4,1481.0,False,True
ANXA4,4,2221.0,False,True
ANXA5,4,1576.0,False,True
ANXA6,4,414.0,False,True
ANXA7,4,589.0,False,True
ANXA9,4,2132.0,False,True
AOAH,4,1094.0,False,True
AOC2,4,1855.0,False,True
AOC3,4,2699.0,False,True
AOPEP,4,1515.0,False,False
AP1AR,4,2288.0,False,True
AP1B1,4,1673.0,False,True
AP1G1,4,703.0,False,True
AP1G2,4,2184.0,False,True
AP1M1,4,596.0,False,True
AP1S1,4,991.0,False,True
AP1S2,4,1183.0,False,True
AP1S3,4,1745.0,False,True
AP2A1,4,298.0,False,True
AP2B1,4,1074.0,False,True
AP2S1,4,138.0,False,True
AP3B1,4,1211.0,False,True
AP3D1,4,1701.0,False,True
AP3M1,4,2672.0,False,True
AP3M2,4,2905.0,False,True
AP3S1,4,555.0,False,True
AP3S2,4,5572.0,False,True
AP4B1,4,1493.0,False,True
AP4E1,4,733.0,False,True
AP4M1,4,534.0,False,True
AP4S1,4,3751.0,False,True
AP5B1,4,3040.0,False,False
AP5M1,4,1409.0,False,True
AP5S1,4,1474.0,False,True
AP5Z1,4,2697.0,False,True
APAF1,4,1105.0,False,True
APBA1,4,1286.0,False,True
APBA2,4,2705.0,False,True
APBA3,4,500.0,False,False
APBB1,4,1117.0,False,True
APBB1IP,4,1671.0,False,True
APBB2,4,989.0,False,True
APBB3,4,4836.0,False,True
APC,4,268.0,False,True
APEH,4,3218.0,False,True
APEX1,4,1888.0,False,True
APEX2,4,2237.0,False,True
APH1A,4,1172.0,False,True
APH1B,4,1456.0,False,True
APIP,4,1663.0,False,True
APLF,4,861.0,False,True
APLP1,4,1981.0,False,True
APLP2,4,2579.0,False,True
APMAP,4,2010.0,False,True
APOA1,4,2104.0,False,True
APOA4,4,553.0,False,True
APOBEC2,4,3400.0,False,True
APOBEC3A,4,2490.0,False,True
APOBEC3B,4,2716.0,False,True
APOBEC3C,4,1276.0,False,True
APOBEC3D,4,1844.0,False,True
APOBEC3F,4,1293.0,False,True
APOBEC3G,4,1130.0,False,True
APOBEC3H,4,1800.0,False,True
APOBR,4,2876.0,False,True
APOC1,4,5743.0,False,True
APOC3,4,1181.0,False,True
APOD,4,1162.0,False,True
APOE,4,1480.0,False,True
APOL1,4,1606.0,False,True
APOL2,4,2096.0,False,True
APOL3,4,2495.0,False,True
APOL6,4,828.0,False,True
APOLD1,4,3389.0,False,True
APOM,4,132.0,False,True
APOO,4,1828.0,False,True
APOOL,4,2046.0,False,True
APP,4,975.0,False,True
