target,kd_log2,cells,r_raw,r_partial,mean_abs_eff
DDX54,-1.4868859597313393,88.0,-0.33795876393574587,0.01003653014979494,0.25034373302834323
DENR,-3.4607975753694893,54.0,-0.020080308770669776,0.018033690670708355,0.2323281897773422
DESI1,-4.401053095705644,55.0,0.09012240783582703,-0.01277308366360944,0.23246605384576335
DNAJA1,-1.737956584472016,65.0,0.06565850318199976,0.02077749828217452,0.18500146195906378
DNAJC19,-5.439620045052546,52.0,-0.007179064412345132,0.0010846581158381772,0.2049106633403285
DNAJC8,-4.7759991290012325,84.0,0.11569953566148705,0.015479156084101746,0.17883714088891292
DNMT1,-6.082074292076596,82.0,-0.3287946226349014,-0.020119897600596973,0.25065637516421724
DNTTIP2,-4.2700931345451645,55.0,-0.07010844519447218,-2.5880696506250952e-05,0.4981382258820639
DTL,-3.369960647602006,64.0,-0.4161626630755228,-0.004881295636228101,0.29019630605430907
DYNLL1,-2.159917573627544,55.0,-0.2832203723732068,-0.010182119893816656,0.243501242145572
DYNLL2,-4.532686938859238,81.0,-0.04990850072997878,0.0078023252674271765,0.17769049349840924
E2F6,-3.5313072210008785,57.0,0.0017109934647512666,-0.0168534661484172,0.198266237602001
EDC4,-2.5307995439030644,50.0,-0.04684238985191603,-0.014136229546548019,0.22123739806374065
EEF2,-0.9085135513015747,76.0,0.16319669804367104,-0.029992368754638777,0.2687765020707207
EIF2B1,-4.089970780581441,189.0,-0.11839716666560395,-0.014297937927419414,0.25282371008417354
EIF2B2,-3.935319892972784,180.0,0.06178312477691446,0.015201912913202088,0.4269275723733991
EIF2S3,-4.034645781447635,53.0,-0.017497876038723773,-0.014066637027793557,0.6001096112696369
EIF3B,-3.0626846592753454,126.0,-0.0267003341698009,0.0013297087887239748,0.5060938398821309
EIF3I,-3.06106040518052,94.0,0.31179862318791046,0.0329665201406992,0.5626472095193689
EIF4B,-4.034827313185576,217.0,0.14685973114527542,0.03323064541875857,0.12409169355461314
ELAC2,-3.2388666240827204,57.0,-0.06400828443322112,0.004394263627291484,0.20585540616373668
EPRS,-4.788467051792046,50.0,-0.02673201647457828,0.008728645643628638,0.4645475813936482
EXOSC2,-4.633872287689746,116.0,-0.32179279919360737,-0.01685680714816202,0.3450051695637546
EXOSC7,-2.01113800793396,55.0,-0.1034165420264971,-0.010960640241002632,0.2868044323229528
FBXW7,-1.9591327553195441,55.0,0.06128266131998268,0.01577895513669413,0.20931667734319967
FNBP4,-2.5944352592873656,111.0,0.09140768318235626,0.012762872541077209,0.14957862480744688
GARS,-1.3817311934666885,79.0,0.10121130714549208,0.04537624045936768,0.2236115285961289
GART,-3.8247063765542473,65.0,-0.10040852664249231,0.015534970636019236,0.2037791364947836
GFM1,-3.8139218556446006,749.0,-0.05842415980496165,-0.0024654277209799546,0.1380891709172372
GINS2,-5.247176237894704,62.0,-0.22747899025392823,0.023234555578235592,0.23122343170329393
GLRX5,-3.0184961757349162,98.0,-0.04289885176709759,0.002927680741952886,0.14708925372137763
GNPNAT1,-3.930948717342083,84.0,0.015000318746030472,0.016898318204066592,0.16969645237320102
GPN1,-2.51259577890571,60.0,-0.08168187890883016,-0.010990285587655302,0.3810506890361754
GRB2,-0.7710547795827679,78.0,0.002344440104488167,-0.011072032161548341,0.17380835478770826
GRSF1,-3.861636862726092,69.0,-0.02232759085536724,-0.016155490295904722,0.19814887703502876
GSK3B,-3.201732960362378,59.0,-0.14204620420995878,-0.030436168031871276,0.21275510626462754
GTF2A1,-3.063886099791737,90.0,0.0005572400049213215,0.028685745371336113,0.45540632150484284
GTF3C4,-1.2427540507322856,536.0,-0.2678857730984048,-0.001524416020751442,0.1047988902820856
GYG1,-5.892191506886367,60.0,0.11933872010816628,0.035391125996964264,0.1984122982673153
HNRNPK,-1.852325234258856,57.0,-0.03609176801328146,-0.006811784490829762,0.43315973349257436
HNRNPL,-1.650275283543815,178.0,0.03842324517488052,0.01687405639918069,0.18881356261532567
HS6ST1,-3.21307659480597,61.0,-0.07596680811073157,0.00026137044053585695,0.18576429792456384
HSCB,-5.5843119516470345,182.0,0.08655324420111028,0.014611515503959735,0.1114453533960498
HSD17B12,-4.175274995731557,178.0,0.0757365790883843,0.022465309294956545,0.11839444805857548
HSP90B1,-3.077221612614774,60.0,-0.016870599524284158,0.05345603836895726,0.2067191127570554
HSPA9,-3.9373223753652895,104.0,-0.10332894957313055,-0.010297792014787099,0.6343769262246376
IMP4,-4.485110320992723,56.0,-0.3509283569758268,-0.02055487820065037,0.38871930764027524
IMPA2,-2.950313420917096,64.0,-0.29575466224245633,-0.017477262505448506,0.25947540031045924
INO80C,-1.201525881805911,52.0,0.1117156477374295,0.02075574608289069,0.23373679036033873
INTS14,-3.562091327853454,132.0,-0.13049281118223213,-0.028271925371738775,0.19630790252598265
IST1,-2.4749170457896827,52.0,0.013066458474434306,0.015255015850721698,0.2175701379577267
KIN,-3.0006012957012493,73.0,-0.1457605231930896,-0.03347380023355501,0.3528768289736604
KRT8,-0.44402441567981266,64.0,0.012664540801462723,-0.024558680878052366,0.17769665742909846
LSG1,-5.98286396112168,83.0,-0.16243159465577456,-0.01643695373127062,0.4285967171705882
LSM12,-3.2661486851522263,69.0,-0.14932894829259177,0.005759611599139526,0.22561440662533844
LTV1,-4.343197571613248,53.0,-0.21421858515526435,0.00575929216653391,0.46497750552098915
MAD2L1,-4.328797859723193,91.0,-0.2646392712740623,0.015923395576085905,0.1904648960062338
MAP2K7,-3.1837937555072955,56.0,-0.1443008671059097,-0.015430767187483575,0.27631897101321956
MBNL1,-1.9883820177193847,105.0,0.13342324551855492,0.02187190359836432,0.1878500180752319
MCM3,-3.224164667786684,155.0,-0.5750284760874519,-0.05252932432276871,0.19420946093911576
MCM7,-2.094678026308957,63.0,-0.2313687107831148,0.0058415416920389075,0.20285872876636052
MED21,-2.6872618134451907,66.0,-0.07393530208369392,0.003871705319142094,0.359705866422016
MED8,-3.6137865825242796,76.0,-0.09553525352294161,0.04742572551752842,0.34116097844028126
MIER1,-0.43782029297719854,61.0,-0.08311872456164113,0.0036887171986662182,0.19763329627768378
MRGBP,-4.3340159967243235,118.0,-0.15617139015172093,-0.007993058413406279,0.25321223171183455
MRPL16,-4.239521592078158,63.0,-0.1575050143158352,-0.031093888695423087,0.25489853570576887
MRPL35,-3.9502429301208046,333.0,-0.15363634255960926,0.0184020022831799,0.21935189075297917
MRPL38,-4.159776513346922,55.0,-0.08958853185375672,0.011518679794458283,0.23922582730507375
MRPL41,-4.997639605455175,52.0,-0.17730374913403377,-0.059451704224066704,0.2950032260916332
MRPL49,-4.34423825051003,51.0,-0.04210525008909607,-0.003399727344711704,0.31168920807849804
MRPS17,-3.8385921379363004,51.0,-0.03649240279585627,0.011900912778784611,0.23969926486257367
MRPS6,-5.470131368467797,64.0,-0.06933641648492449,-0.02282108164208497,0.2029257557269084
MTOR,-1.7090756291890665,81.0,-0.03113746208579706,-0.002969590214934195,0.18304334419630144
MYBBP1A,-4.576146783030853,65.0,-0.23815538844615425,-0.021258738659715743,0.3447866674395566
MYC,-2.429823817126539,52.0,-0.3370111219770128,-0.03292202833420578,0.36810981085914163
NAA25,-2.3745681425736884,90.0,-0.13664579125555176,0.013022488245529734,0.19206472462203555
NAGLU,-2.3578400214846145,88.0,0.021516547471735897,0.01604043958738304,0.1531374857786311
NARS,-3.5017755602136442,85.0,-0.10494244359047908,-0.02245008826261575,0.3551564501184539
NCAPH2,-3.514588634590753,55.0,-0.45957445486323206,0.01352325397270545,0.2647154771409416
NELFCD,-6.202475806054937,50.0,-0.04481367784270998,0.0081794562910004,0.26159217466357965
NELFE,-4.037656770956432,57.0,-0.10935614983490397,0.015671916410506616,0.3163852799088283
NFYB,-2.1440727306437353,105.0,0.16870784850826165,-0.012215348728761347,0.17199071263962865
NIFK,-3.4632423119557205,105.0,-0.2907346698086475,0.008910615118789609,0.43431879433334203
NLE1,-5.950590712326406,60.0,-0.3460637014922281,-0.009155127737358881,0.46688547276122355
NMD3,-3.3758988554212004,87.0,0.12280238165210593,-0.001436302689919623,0.3258880901257108
NOLC1,-6.941890720137926,84.0,-0.34445025088109327,-0.0005962603580777778,0.26455963385032827
NOMO1,-2.9473608576718697,61.0,-0.0038216869794426675,-0.00521783957818507,0.19974354183185378
NOP58,-2.5668769822245503,62.0,-0.4789869249560718,0.03234621661323718,0.38735616350872154
NSA2,-3.0587838839176276,83.0,-0.15770494144045707,0.026300954396694106,0.3102748599383365
NUB1,-4.770104796108841,80.0,-0.037560402323735254,-0.000549929292229427,0.19223217943545248
NUBP2,-2.6789212611741005,60.0,0.040656473593326255,0.012717683165544384,0.20291610262818732
NUP214,-3.1763408487996165,106.0,0.017788521305047416,-0.0013631656947703415,0.17079723023390195
NUP98,-3.506028375057653,136.0,-0.21367666148372066,0.0014839632591461015,0.3900314986690426
OGFOD1,-3.7411076683315176,58.0,0.08071238858357178,-0.018726667052022278,0.2546493403166
ORC4,-2.71435055688049,51.0,0.021853359887785334,0.015782845821270767,0.19792308074196524
PABPC4,-2.679647729749595,69.0,-0.13044990354549996,-0.01777290232931701,0.21208562441289985
PAXBP1,-5.101348146664063,78.0,0.05379353640436005,0.013039101008273135,0.2787620495590506
PCBP2,-1.0298655387795983,96.0,-0.06468852381632391,0.005280624877107702,0.15763931766563438
PDRG1,-3.466518943929638,52.0,0.06956672477965797,0.028725176180376788,0.3316271184532526
PGK1,-4.230629996525916,65.0,-0.02062987064655712,0.006936733879942733,0.1714203095909802
PHF5A,-1.1807700471264564,58.0,-0.2998349082199433,-0.014332417266571904,0.27805877183197913
PKM,-1.5379375978568073,85.0,0.15522452379814525,0.05189991812560361,0.16117391711958282
PMPCA,-3.3380722371589804,51.0,-0.019608236979258835,0.0025570583817569595,0.2710823096071098
PNO1,-3.809875517873259,54.0,-0.35811701826969605,-0.011529316132332488,0.39380936594144117
POGLUT3,-4.311858408307414,386.0,-0.017873015750630338,-0.026148023311099593,0.0847330169318379
POLR2E,-2.1348392585924247,143.0,-0.16580433134905398,-0.028226167184913664,0.4176285809454205
POLR2F,-2.6985605522601332,80.0,-0.0884492459698037,0.018152577389374702,0.3572241833409327
POLR2I,-3.38720499344334,140.0,-0.34079061729080407,-0.004358705469910115,0.5417183246578596
POP5,-3.816644546649209,93.0,-0.23756903839257323,0.03864585070694729,0.21915202490196808
POP7,-5.569269520960666,62.0,-0.47095116736282694,-0.031731571587972525,0.33645856930748136
PPP1R8,-6.06991611152258,69.0,0.046960278405407486,0.04421616064206711,0.22112496212353158
PPP2CA,-1.952874716532614,89.0,0.007945077286704516,0.026779484907762115,0.16445277723898394
PPP2CB,-0.5831842692430511,67.0,0.1981416703409653,-0.01028931136064221,0.188725773396338
PRPF19,-3.4871544547901228,64.0,-0.12200187726593054,0.0003585226684074435,0.3233194629791888
PRPF31,-2.676012282965348,92.0,-0.23136472322415488,-0.031126430362939578,0.45021084554119406
PRPF4,-2.3278698724232036,78.0,-0.26218766393132675,-0.005327550498096241,0.4676318439937552
PSMA4,-1.9680314374949364,127.0,-0.25237820804939315,-0.006997589891309991,0.5975541473566545
PSMB4,-1.0656243736097508,70.0,-0.055285964145067666,0.014668936660267837,0.27251948008958704
PTMA,-3.413285579378783,64.0,-0.4129439548074371,-0.07216359105150894,0.22335467108466103
PTPN1,-3.926840415509808,66.0,0.08747680125862962,0.020709203432050592,0.18141256300824754
PUF60,-2.215666048838108,78.0,-0.09187491664959921,0.003031333431852008,0.29295699562887384
PYURF,-4.74536531480375,63.0,0.08632799097861045,-0.0008999778809923965,0.26673693090974454
RAC3,-5.223752217712745,92.0,-0.20104216116719653,-0.008053323540262747,0.2542838904635688
RBMX2,-4.567626408195513,114.0,0.02288765967147405,0.04173448391863095,0.39484508831109755
RCC1,-2.0727660774907193,170.0,-0.041072022460840664,0.0034237911428780477,0.12965697973391596
RFC2,-2.4433106080686513,60.0,-0.3132299908646795,-0.0321565854907954,0.23896145747969189
RIOK1,-4.5383270345155555,56.0,-0.2090421361448545,-0.02082815570982742,0.3676667992055996
RNASEH2C,-4.387772894480889,132.0,0.10982140129586179,-0.021369304149557473,0.1560940433359904
RNPS1,-0.9609223385792959,61.0,-0.04193937204668521,0.024635884050224717,0.2064777730624399
RPA3,-3.6172863840975293,86.0,-0.4913112654997587,-0.024883101221521015,0.3312872547142797
RPAP2,-2.4189722260245405,55.0,0.08470882458839624,0.022153044467490158,0.5395352470575648
RPF1,-4.786182750303502,56.0,-0.22524598243376034,0.0008889889637637912,0.3996243234652603
RPL13,-2.640345401695544,73.0,0.09482860063396464,0.011024986537433367,0.45837246750106947
RPL18,-3.513697322037477,81.0,0.020116997291371466,-0.03761156475851729,0.5474033237304715
RPL18A,-2.0442084226124884,57.0,0.03950994951543695,-0.019862884035048434,0.4351773308249248
RPL27A,-2.4674228703809997,50.0,0.08813444180066407,-0.019516434445398596,0.4997929570463732
RPL35,-4.157541658636938,82.0,-0.12023105785703679,-0.015090105690061532,0.5404145447504243
RPL36A,-3.5324337960883425,68.0,0.0675462693875192,0.020768197213714992,0.25271646041910306
RPL5,-2.245183101072289,52.0,0.06391765769416079,-0.059812391800138705,0.4500978934655476
RPS14,-2.3821600781808536,76.0,0.05696866462645047,-0.06643019715377063,0.35504257522985133
RPS19BP1,-3.8624857516350826,68.0,-0.30302773986083076,-0.018591519593027024,0.32401451945048654
RPS24,-3.113852807653686,66.0,0.08646181578417651,-0.05093037940788237,0.45578868640277453
RPS27,-4.233987210821232,91.0,-0.018598020815013105,0.0009851327002399115,0.17608092194279765
RPS29,-1.1953686650823232,99.0,0.11282880760363703,-0.01922132563137904,0.29875203708786247
RPS3,-2.2604250012497613,54.0,-0.12159820869151192,-0.04598103028864733,0.4660404524071034
RPS7,-3.037366622396459,71.0,-0.011749365353439432,-0.08924750855553086,0.44917055550995905
RPUSD3,-4.768932064599444,76.0,-0.07578438648564244,0.005239980295949359,0.20132573616635127
SART3,-4.24076025114607,355.0,-0.09054587357388133,0.03658212197340407,0.2355958860758897
SCAP,-2.6805137551246876,98.0,-0.14891437452784903,-0.029105486380951676,0.19233710215086078
SCD,-3.724977991413318,74.0,0.15739957874492003,0.12639128661851026,0.2597171647060783
SDC1,-3.6146928467747355,67.0,-0.17815431682758973,0.001374539701953436,0.2711023502761644
SDHAF2,-2.606041515077891,79.0,0.004796207180010555,-0.001723835415486839,0.16752982916739906
SEC16A,-0.5363105424030583,102.0,-0.0073983661462429014,0.008047852063175811,0.15203167592734684
SEPHS2,-4.646626025696168,56.0,-0.023512663703176874,-0.009223447556851021,0.1985231296368143
SETD5,-2.3489144144858627,52.0,-0.11117542059149088,-0.021537684500563405,0.2329112061346533
SF3B1,-1.4558004452447797,77.0,0.0339728258878246,0.005461497662423112,0.3152271180896221
SF3B5,-3.4509905370564824,103.0,0.24019981892001677,0.03526888336604336,0.6347830606144561
SHC1,-2.87251366221359,65.0,-0.017035622550366822,-0.013269038978317023,0.16985929631371005
SLC7A6OS,-2.3721678580121606,51.0,0.017059188189696182,-0.007416390934853928,0.4344574936080023
SLU7,-1.8867560058672137,342.0,0.25107353051110665,-0.05198177988001408,0.2757167793568893
SMARCB1,-1.2727913739006245,81.0,-0.03137639148409225,-0.003763094604551689,0.1876886544633919
SMG5,-2.8232081901920294,165.0,-0.009487906091834176,0.02346067091636058,0.25716292481243924
SNRNP40,-3.751913871782704,65.0,-0.07399137241241001,-0.013767674274128063,0.20686147541560193
SNRNP70,-2.9063702755236975,70.0,-0.08214254353777573,0.03865243654153719,0.48914982427057674
SNW1,-0.18979204992203,53.0,0.01385037216652125,-0.026484419610456087,0.22562846535155506
SP1,-5.787202023506206,78.0,-0.033004550326226706,0.0080689611779703,0.21673862624381873
SRA1,-3.426033202687724,134.0,-0.101705196408472,0.0061118348487772915,0.12863276334422516
SRP9,-3.938095288393603,87.0,0.012269281696339056,-0.00016200757183831946,0.171651569027474
SRRM1,-1.8560569889543628,53.0,-0.10809823304793793,-0.001262420342119529,0.2344918694110173
SRSF11,-0.5430844986722665,118.0,-0.027219803335395677,-0.016399072200741174,0.1373722610873186
SRSF6,-3.152690589717964,119.0,-0.04584413461671879,0.010282001497149383,0.16440266644144672
STXBP4,-6.02969002158154,58.0,0.09823565918100123,-0.007816946977959418,0.19202771843022914
SUMO2,-2.0238193403560523,51.0,0.15715225970316724,0.01992047580527653,0.25187097714158124
TAF12,-4.781387571757204,53.0,-0.08025225247326268,0.034591008991168334,0.4296436695287617
TAF7,-2.587962479104189,53.0,0.34077805043406656,0.018060576229826063,0.39627292140791287
TARDBP,-1.9603921593849065,262.0,-0.1781604354472366,-0.02614316644983136,0.16621077962922892
TBCB,-3.236908558565296,55.0,0.0379570575085397,0.004827507139136614,0.3408057701736513
TBCD,-3.115124253638181,64.0,0.08959840488485374,0.0006250089400884644,0.1947146151475073
TGS1,-2.2297353879803543,55.0,-0.02278730629283746,0.030033540602841524,0.22534892136896156
TMEM214,-3.419735650844028,249.0,-0.008233560848955433,-0.0022761021479146934,0.1160431408487734
TMX2,-5.112230932686551,70.0,-0.14341808989471985,0.01138715763084507,0.257971790964335
TNPO3,-4.40582576255741,56.0,-0.15653817603532755,0.006965585863283742,0.37192011787451656
TUBG1,-3.89414732464404,129.0,0.013643380707891572,-0.012183291709945553,0.1296908459288268
UBE2L3,-3.3201329186093727,53.0,-0.079541905346443,0.002850598425388028,0.21712179306392962
UBL5,-3.6418150167530094,85.0,0.09021322766022738,0.03397589429867014,0.3859622350596851
UBTF,-0.3142089568663941,102.0,-0.019969940439214108,0.002227590170503212,0.14994214890856436
URB1,-3.431036972376766,76.0,-0.1366429023889213,0.01636813595751755,0.2946667259271698
URI1,-5.182493337944579,133.0,-0.06246494477902499,-0.03769419733127153,0.3350059723497351
UROD,-3.7296221999302017,52.0,0.07852518465536418,0.007665947683634107,0.20208779725777068
USP14,-4.233361786451906,93.0,-0.05948769033907142,-0.00026377212642363643,0.16003737553373676
USP5,-2.0002962092044316,98.0,-0.14791075995169256,0.005509439174460614,0.18112337568430367
WDR18,-2.64764023445065,170.0,-0.1097487575592186,0.037811188806635906,0.1871113985497196
WDR3,-3.4988985848018985,77.0,-0.3120704197018979,-0.03532698241855064,0.31917322952731697
WDR33,-2.108088345602157,63.0,0.02082368818843668,0.014045334291869714,0.3551467921625708
WDR4,-5.071525324698415,108.0,-0.014219042622604337,0.013509907789165887,0.14811346062680195
WDR74,-0.9293487956093001,79.0,-0.35361465667148556,0.031013358959814174,0.2507956817982546
WDR75,-2.5142654626951066,50.0,-0.128736357266969,0.0054031347565180994,0.4608084086472783
YRDC,-1.5860897568752812,96.0,0.0020178977090074116,-0.006288085459858693,0.15866439942873065
YTHDC1,-2.2598770901148986,56.0,0.07940078582828716,0.04379026175629527,0.3555558098176005
YY1,-1.5579609184356185,51.0,0.0935689076147761,0.009710367888496203,0.242688798067898
ZDHHC7,-2.6585429938675187,466.0,0.2133128129193371,0.02375936909514852,0.1372823373145
ZNF292,-4.050875420039179,78.0,0.08907519990298182,0.010512400498282915,0.17684103263859502
ZNF706,-1.3524833476886033,84.0,0.07258865991698571,0.010473466062301073,0.16497954295231756
ZNRD1,-3.180070647875631,68.0,-0.2200912690925402,-0.003972951326236248,0.2871005546000861
