gene,class,expressed_abc,cpm_abc,targets,cov,signal_k562,signal_cd4_mix,rho
ICA1,other,True,8.96087,8423,0.00248984,-0.107897,-0.0544387,inf
DBNDD1,other,False,1.05589,0,,,,
ALS2,other,True,63.8397,8423,0.00114394,-0.221426,-0.0157095,inf
CASP10,other,True,17.9139,8423,0.000757991,-0.156425,-0.00172003,inf
CFLAR,other,True,49.5361,8423,0.00033675,-0.049999,0.00297099,inf
TFPI,other,True,78.4971,0,,-0.0765202,,
NDUFAF7,other,True,54.3494,8423,0.000496468,-0.0832381,-0.00673668,inf
RBM5,other,True,76.1182,8423,-2.11219e-07,0.000710833,-0.00308322,-inf
MTMR7,other,False,0.0252399,0,,,,
SLC7A2,other,True,24.8206,0,,,,
ARF5,other,True,73.3402,8423,0.00047133,0.000905369,-0.00519659,inf
SARM1,other,False,3.4202,0,,,-0.00650061,
POLDIP2,other,True,406.037,8423,0.000399979,0.0018898,-0.000757341,inf
PLXND1,other,True,68.6078,0,,,-0.163307,
CD38,other,True,37.5285,0,,,0.0614365,
FKBP4,other,True,63.2226,8423,0.00118855,0.00584633,-0.00215414,inf
KDM1A,other,True,399.958,8423,0.000951422,0.00310532,-0.00066527,inf
RBM6,other,True,92.7735,8423,0.000624664,0.000169531,-0.00174136,inf
CAMKK1,other,True,18.7333,0,,,-0.0687078,
RECQL,other,True,204.498,8423,0.000397989,-0.0439813,-0.000178785,inf
VPS50,other,True,21.5307,8423,0.000950839,-0.164911,-0.0112077,inf
HSPB6,other,False,0.103501,0,,,,
ARHGAP33,other,True,11.8948,0,,,-0.0677255,
NDUFAB1,other,True,396.432,8423,0.000554608,0.000561768,-0.000164415,inf
PDK4,other,True,175.426,0,,,,
SLC22A16,other,False,0.104816,0,,,,
ZMYND10,other,False,4.20596,0,,,-0.166324,
ABCB5,other,False,0,0,,,,
ARX,other,False,0.00148661,0,,,,
SLC25A13,other,True,31.7656,8423,0.000990905,-0.0235778,-0.0203252,inf
ST7,other,True,44.6376,8423,0.000145073,-0.0478478,-0.00588702,inf
CDC27,other,True,90.0808,8423,0.000158728,0.000288627,-0.00139728,inf
SLC4A1,other,False,0.0456703,0,,,,
CALCR,other,False,0.00114253,0,,,,
HCCS,other,True,60.8824,8423,0.00134564,0.00375691,-0.00539397,inf
DVL2,other,True,27.1009,8423,0.000340873,-0.143145,-0.0109811,inf
PRSS22,other,True,14.4816,0,,,,
UPF1,other,True,86.4006,8423,0.00043698,-0.0342552,-0.00269759,inf
SKAP2,other,True,59.9038,8423,0.00342263,-0.0585666,-0.00968694,inf
SLC25A5,other,True,115.583,8423,0.000723616,0.000681827,-0.000841792,inf
MCUB,other,True,80.0032,8423,0.000742992,-0.112699,0.000748237,inf
HOXA11,other,False,0.998289,0,,,,
DHX33,other,True,72.2538,8423,0.000454735,-0.0240194,-0.00207834,inf
MEOX1,other,False,0.27517,0,,,,
THSD7A,other,False,1.14601,0,,,,
LIG3,other,True,39.3572,8423,0.00102419,-0.0448982,-0.00899005,inf
RPAP3,other,True,94.5204,8423,0.000227217,0.000597104,-0.0025862,inf
ACSM3,other,False,3.98588,8375,0.00313053,-0.0177278,-0.1221,inf
REXO5,other,True,14.1881,8423,0.00123317,-0.188705,-0.0544381,inf
CIAPIN1,other,True,28.2343,8423,0.000363141,0.00169764,-0.00752268,inf
SPPL2B,other,True,71.6283,8423,0.000685095,-0.00488025,-0.00573505,inf
FAM214B,other,True,7.83766,0,,,,
COPZ2,other,True,28.6704,0,,,-0.0224864,
PRKAR2B,other,True,23.8039,8423,-0.00409281,0.00593768,-0.0824142,-inf
MSL3,other,False,2.21438,8423,-0.000480934,-0.0488545,-0.0696742,-inf
CREBBP,other,True,57.0796,8423,0.00051124,-0.051849,-0.00264281,inf
TSPOAP1,other,True,13.5254,0,,,0.019987,
MPO,other,False,0.00452456,0,,,,
PON1,other,False,0.154798,0,,,,
GCFC2,other,True,30.084,8423,0.00181813,-0.0888646,-0.00437475,inf
WDR54,other,True,154.588,8423,0.00154884,-0.121843,-0.00593526,inf
CROT,other,True,8.42291,0,,,-0.02752,
ABCB4,other,False,0.0575881,0,,,,
KMT2E,other,True,95.2146,8423,0.000842693,-0.0504064,-0.000200732,inf
RHBDD2,other,True,36.2052,8423,0.00201771,-0.204354,-0.0152361,inf
SOX8,other,False,0.219159,0,,,,
IBTK,other,True,132.465,8423,0.00017803,-0.00325903,-0.00157113,inf
ZNF195,other,True,54.6633,8423,0.000631228,-0.0966563,-0.00884159,inf
MYCBP2,other,True,33.4437,8423,0.000713737,0.00278014,-0.00592361,inf
FBXL3,other,True,138.372,8423,0.000651246,-0.0664908,-0.000583166,inf
ITGAL,other,True,44.4661,0,,,0.00273393,
PDK2,other,True,77.1569,0,,,-0.00958283,
ITGA3,other,True,160.53,0,,,-0.032463,
ZFX,other,True,23.9361,8423,0.000366545,-0.0678392,-0.00815885,inf
LAMP2,other,True,210.73,8423,0.000792071,-0.0409476,-0.000334721,inf
ITGA2B,other,False,1.96969,0,,,,
ASB4,other,False,0.0628786,0,,,,
GDE1,other,True,82.6341,8423,0.000479824,-0.0524014,-0.00160866,inf
REX1BD,other,False,0.576106,0,,0.00237045,,
CRLF1,other,False,3.19584,0,,,,
OSBPL7,other,True,5.99941,0,,,-0.0702285,
TMEM98,other,True,11.1516,8375,0.00466182,-0.0195431,-0.0631731,inf
YBX2,other,True,6.34475,0,,,,
KRT33A,other,False,0.374288,0,,,,
MAP3K14,other,True,7.4071,0,,,-0.023927,
ABCC8,other,False,0.0109123,0,,,,
CACNG3,other,False,0.0120685,0,,,,
TMEM132A,other,True,38.6514,0,,,,
AP2B1,other,True,29.6629,8423,0.000851988,-0.0535985,-0.0027118,inf
TAC1,other,False,0,0,,,,
ZNF263,other,True,81.2607,8423,0.000477822,-0.112387,-0.00542749,inf
CX3CL1,other,True,123.114,0,,,,
SPATA20,other,True,51.1268,0,,,-0.0193624,
CACNA1G,other,False,4.76464,0,,,,
TNFRSF12A,other,True,8.37157,8296,0.000920461,-0.130822,-0.166288,inf
DLX6,other,False,0.913508,0,,,,
MAP3K9,other,True,11.0735,0,,,-0.0360998,
RALA,other,True,68.0639,8423,0.000752959,0.00546088,-0.00228819,inf
BAIAP2L1,other,True,30.7851,0,,-0.068666,,
KDM7A,other,True,9.90356,0,,,0.00598577,
ETV1,other,False,4.54401,0,,,,
AGK,other,True,28.3723,8423,0.000969919,-0.134757,0.00077681,inf
ALDH3B1,other,True,85.8782,0,,,,
TTC22,other,False,1.69983,0,,,-0.0419626,
PHTF2,other,True,96.74,8423,0.000993269,-0.0622232,0.0171502,inf
CCL26,other,False,1.74256,0,,,,
FARP2,other,True,53.8647,0,,,-0.0104555,
USH1C,other,False,0.730913,0,,,,
GGCT,other,True,153.381,8423,0.000893477,0.00294041,-7.53859e-05,inf
DBF4,other,True,86.4891,8423,0.000607606,0.00217409,-1.03074e-05,inf
TBXA2R,other,True,6.70864,8423,0.000584016,-0.106221,-0.0817184,inf
IFRD1,other,True,107.145,8423,0.00178063,-0.0380827,-0.000382029,inf
LGALS14,other,False,0.195869,0,,,-0.35097,
COX10,other,True,76.2838,8423,0.000626707,-0.174631,-0.00251357,inf
GTF2IRD1,other,True,78.5654,0,,,-0.0421211,
PAF1,other,True,111.325,8423,0.000262544,-0.114911,-0.00300511,inf
VPS41,other,True,49.4486,8423,0.000772377,-0.0491657,-0.00262178,inf
ARHGAP44,other,True,8.3987,0,,,,
ELAC2,other,True,173.556,8423,0.000727156,-0.110412,-0.000781204,inf
SCIN,other,False,0.933489,0,,,0.111659,
ARSD,other,False,0,0,,,-0.111754,
PNPLA4,other,True,8.52338,8423,0.00217916,-0.0596573,-0.0160533,inf
MYH13,other,False,0,0,,,,
ADIPOR2,other,True,85.3749,8423,0.000765945,-0.0565787,-0.00267292,inf
CDKL3,other,True,6.19793,0,,,-0.065354,
UPP2,other,False,0.00386921,0,,,,
PRSS21,other,True,180.84,8423,0.00290652,0.0032473,0.448123,0.0761927
MARK4,other,True,12.1903,8423,0.00119529,-0.212431,-0.0513576,inf
PROM1,other,False,0.0768635,0,,,,
CCDC124,other,True,190.727,8423,0.000467308,0.00120243,-0.000598956,inf
CEACAM21,other,False,1.25902,0,,,-0.0271642,
PAFAH1B1,other,True,256.533,8423,0.000120306,0.00178265,-0.00156548,inf
NOS2,other,False,0.0393255,0,,,,
DNAH9,other,False,0.0163282,0,,,,
KIAA0100,other,True,249.721,0,,-0.0345526,,
SLC13A2,other,False,0.0109775,0,,,,
GAS7,other,True,44.9514,0,,,,
TRAPPC6A,other,True,70.6036,8423,0.00130248,0.00997444,-0.000174614,inf
MATK,other,False,0.0338389,8423,0.00206697,0.00647564,0.0333604,0.14063
CEACAM7,other,False,0.0025239,0,,,,
CD79B,other,False,0.0637298,0,,,0.00711415,
SCN4A,other,False,0.0759487,0,,,,
ST7L,other,True,17.3078,8423,0.000908172,-0.0807564,-0.0373024,inf
TKTL1,other,False,0.0776808,0,,,,
PAX6,other,True,15.0411,0,,-0.0478711,,
RPUSD1,other,True,19.7477,8423,0.000397966,-0.128146,-0.0164371,inf
RHBDF1,other,True,7.28524,0,,,,
LUC7L,other,True,97.4336,8423,0.000830007,-0.0782476,0.00030781,inf
CACNA2D2,other,False,1.2856,0,,,-0.330794,
BAIAP3,other,False,0.0859905,0,,,,
TSR3,other,True,179.368,8423,0.000367434,0.00256516,-0.000933605,inf
PIGQ,other,True,43.7686,8423,7.8457e-05,-0.082937,-0.0140857,inf
CRAMP1,other,True,59.2297,8423,-0.000378934,-0.263893,-0.00460388,-inf
TEAD3,other,True,18.7133,0,,,,
SELE,other,False,0.000385675,0,,,,
DNAJC11,other,True,83.4816,8423,0.000423777,-0.0887357,-0.00277869,inf
FMO3,other,False,0.0618104,0,,,,
MYLIP,other,True,44.4571,8423,0.00177799,-0.0660366,-0.0124222,inf
NOX1,other,False,0.0244475,0,,,,
E2F2,other,True,42.5829,8423,-0.000780916,-0.241235,-0.00675859,-inf
PSMB1,other,True,662.79,8423,0.000172388,0.000127393,-0.000474278,inf
SYN1,other,False,1.26178,0,,,,
JARID2,other,True,112.918,8423,-1.14041e-05,0.00229423,0.00298087,-0.00436084
CDKL5,other,True,15.9909,0,,,-0.125723,
CAMK1G,other,False,0.00279383,0,,,,
CDK11A,other,False,4.95791,8423,0.000851859,-0.109159,-0.0404404,inf
NADK,other,True,72.6613,8423,0.000321375,0.00166268,-0.00357676,inf
TFAP2B,other,False,0.00325736,0,,-0.0643576,,
TFAP2D,other,False,0.049879,0,,,,
DLEC1,other,False,0.093763,0,,,,
CYTH3,other,True,150.4,0,,,-0.129557,
ADAM22,other,True,33.8829,0,,,-0.0562035,
SYPL1,other,True,132.879,8423,0.00178637,-0.0523574,-0.00872603,inf
CYB561,other,True,43.8974,8423,0.00275424,-0.149933,-0.041593,inf
SPAG9,other,True,126.762,8423,0.000690964,-0.0519963,-0.00225959,inf
CELSR3,other,True,8.27124,0,,,0.0384499,
AASS,other,True,28.9797,0,,,-0.166213,
PLEKHG6,other,False,4.32856,0,,,,
SS18L2,other,True,31.0002,8423,0.000780611,0.00113778,-0.00509085,inf
MPND,other,True,13.9188,0,,,-0.0327894,
MGST1,other,True,118.492,8423,-0.0045092,-0.0476543,0.216576,-inf
CRY1,other,True,53.0717,8423,0.00222521,-0.246775,-0.00393095,inf
PGLYRP1,other,False,0,0,,,,
NFIX,other,True,29.761,0,,,-0.0969156,
ST3GAL1,other,True,19.3454,0,,,0.000490845,
MMP25,other,False,0.0334147,0,,,0.00880678,
IL32,other,True,217.063,0,,,0.0124924,
PKD1,other,True,10.6961,8423,0.000508702,-0.149759,-0.0309337,inf
MAPK8IP2,other,False,0.678135,0,,,,
MED24,other,True,74.6929,8423,0.00048965,-0.000302843,-0.00209079,inf
RHOBTB2,other,True,26.932,0,,,-0.0621633,
HEATR5B,other,True,44.9959,8423,0.000909048,-0.254209,-0.00280081,inf
SEC62,other,True,180.375,8423,0.000783078,0.00213589,-0.00133884,inf
CSDE1,other,True,238.82,8423,0.000478872,4.85405e-05,-0.00143003,inf
UBE3C,other,True,142.689,8423,0.000493333,-0.0187573,-0.000779794,inf
REV3L,other,True,49.8176,8423,0.000256951,0.00274669,-0.00362574,inf
TENM1,other,True,8.98436,0,,,-0.290185,
PAX7,other,False,0.00243897,0,,,,
MASP2,other,False,0.110395,0,,,,
IYD,other,False,0.00119731,0,,,,
FAM76A,other,True,29.6882,8423,0.00248775,-0.245274,-0.0126633,inf
TRAF3IP3,other,True,81.6289,0,,,0.00240116,
POMT2,other,True,13.2477,0,,,-0.0628906,
VTA1,other,True,114.882,8423,0.000511499,-0.0232183,-0.00248925,inf
MLXIPL,other,True,5.3172,0,,,,
BAZ1B,other,True,301.526,8423,0.000148222,0.00098871,-0.000973478,inf
RANBP9,other,True,216.444,8423,0.000305199,-0.0136871,-0.000850422,inf
ETV7,other,False,0.091079,0,,,-0.307233,
SPRTN,other,True,28.2234,8423,0.000240953,-0.116709,-0.0116993,inf
EEF1AKNMT,other,True,62.069,0,,0.000732264,,
DYRK4,other,True,28.0062,8423,0.00267205,-0.219148,-0.010566,inf
ZNF207,other,True,9.99331,8423,0.000298611,-0.00062381,-0.0209579,inf
UQCRC1,other,True,548.715,8423,0.000117293,0.000910825,0.000214323,0.265472
STARD3NL,other,True,82.385,8423,0.000913162,-0.0622552,-0.000483776,inf
CD9,other,True,570.684,8423,-0.000913692,-0.138805,0.161409,-inf
HHATL,other,False,0.00355213,0,,,,
NCAPD2,other,True,293.726,8423,0.000393033,-0.0217089,0.00511145,inf
IFFO1,other,True,7.48306,0,,,-0.0215017,
GIPR,other,False,1.00804,0,,,-0.229416,
SEMA3G,other,False,2.48498,0,,,,
NISCH,other,True,38.7802,8423,0.000676987,-0.0953278,-0.00548954,inf
STAB1,other,False,0.0856164,0,,,,
FUZ,other,True,48.0799,0,,,-0.0282679,
SLC6A13,other,False,0.295816,0,,,,
IDS,other,True,59.3327,0,,,0.00347128,
PRSS3,other,False,0.056919,0,,,,
ZNF200,other,True,35.4449,8423,0.00111646,-0.1691,-0.00989136,inf
CD4,other,True,24.1502,0,,,0.0165359,
LRRC23,other,True,6.46671,0,,,-0.0749502,
BTK,other,False,0.059975,0,,0.00336213,,
HFE,other,False,2.69791,0,,,-0.162728,
SCMH1,other,True,44.0274,8423,-0.000331249,-0.0116473,-0.0108821,-inf
FYN,other,True,62.71,8423,0.000127099,-0.155156,0.00317845,inf
HIVEP2,other,True,34.2164,0,,,-0.000305547,
FMO1,other,False,0.0666891,0,,,,
ELOA,other,True,47.5061,8423,0.000988821,-0.0180261,-0.00448975,inf
LYPLA2,other,True,19.2833,8423,-0.000104852,-0.068736,-0.012143,-inf
CLCN6,other,True,19.5254,8423,-0.000478525,-0.275194,-0.0280347,-inf
MRC2,other,True,52.5015,0,,,0.00523024,
SLC6A7,other,False,0,0,,,,
TSPAN9,other,True,15.4883,0,,,,
BTBD7,other,True,82.4291,8423,0.000188722,-0.080609,-0.00371585,inf
MKS1,other,True,31.3827,8423,0.00175508,-0.141462,-0.0254525,inf
ABHD5,other,True,40.8617,8423,0.00111404,0.00624741,-0.00533852,inf
ANOS1,other,True,43.2797,0,,,,
AKAP8L,other,True,53.9381,8423,0.000672868,-0.084601,-0.00488168,inf
MBTD1,other,True,68.2962,8423,0.000265001,-0.0207348,-0.00843682,inf
UTP18,other,True,81.6174,8423,0.000123649,-0.0229357,-0.00328777,inf
RNF216,other,True,19.3591,8423,0.000895463,-0.000170766,-0.0180134,inf
TTC19,other,True,137.392,8423,0.000530593,-0.0324864,-0.000818924,inf
PTBP1,other,True,122.004,8423,0.000364412,0.000233484,-0.000534238,inf
DPF1,other,True,10.5888,0,,,,
SYT7,other,False,3.17096,0,,,,
LARS2,other,True,35.2579,8423,0.000376577,-0.109473,-0.00950367,inf
PIK3C2A,other,True,75.1728,8423,-0.000526332,-0.0799589,-0.00868936,-inf
PLAUR,other,True,40.7461,8423,0.00342009,-0.145674,-0.0428595,inf
ANLN,other,True,194.825,8423,0.000838407,-0.0614672,0.00551138,inf
WIZ,other,True,73.1186,8423,0.000603582,-0.107537,-0.00331992,inf
RABGAP1,other,True,127.738,8423,0.000732403,-0.179275,-0.00543986,inf
DCN,other,True,6.21229,0,,,,
QPCTL,other,True,18.3531,0,,,-0.0221698,
PPP5C,other,True,61.8494,8423,0.00113178,-0.0384983,-0.00495906,inf
CEP68,other,True,51.7863,8423,0.000571439,-0.115109,-0.0169084,inf
MAP4K3,other,True,9.83125,8423,0.00172362,-0.175918,-0.0382181,inf
ZBTB32,other,False,0.117477,0,,,0.0141593,
TYROBP,other,False,0.0738305,0,,-0.153785,,
TMEM159,other,True,19.2327,0,,-0.101308,,
GABRA3,other,True,8.81453,0,,,,
BRCA1,other,True,94.6457,8423,0.00044025,0.00289445,0.00132686,0.224649
ERCC1,other,True,111.594,8423,0.000982799,-0.0299496,-0.00243944,inf
CD22,other,False,0.0410267,0,,,0.0405679,
SEMA3B,other,False,1.43911,0,,,,
MBTPS2,other,True,12.6726,8423,0.000951156,-0.257687,-0.0129463,inf
PRICKLE3,other,True,17.671,0,,,-0.0211309,
LTF,other,False,0.0898718,0,,,,
EXTL3,other,True,62.2115,8423,0.000231431,-0.069276,-0.010752,inf
NR1H4,other,False,0.00410488,0,,,,
ELOVL5,other,True,442.977,8423,0.00042331,-0.034995,-0.000568384,inf
ALOX5,other,False,0.502876,0,,,-0.0781782,
KDM5D,other,True,30.2816,0,,,0.229171,
CALCOCO1,other,True,11.7898,0,,,-0.0228426,
UBR7,other,True,122.745,8423,0.00125171,-0.0797602,-0.000923217,inf
MAP4K5,other,True,80.2818,8423,0.00058194,-0.042629,-0.00147294,inf
EHD3,other,True,10.9108,0,,,-0.0398079,
PSMC4,other,True,94.0128,8423,0.000199602,0.000955994,-0.00120048,inf
MAN2B2,other,True,28.3631,0,,,-0.0115814,
SLC7A14,other,False,0,0,,,,
CLDN11,other,False,0.0767558,0,,,,
SLC25A39,other,True,314.262,8423,0.000516531,0.000836494,4.53466e-05,2.65212
MVP,other,True,7.39813,0,,,-0.00179364,
NUB1,other,True,70.6198,8423,0.000699472,-0.0121705,-8.98161e-05,inf
PGM3,other,True,52.341,8423,-1.0825e-05,0.00156471,-0.0166578,-inf
RWDD2A,other,True,10.7873,0,,,-0.0717765,
CLK1,other,True,34.7351,8423,-0.000224958,-0.0709521,0.000903958,-inf
POLR3B,other,True,16.7793,8423,0.00126942,-0.0609935,-0.018784,inf
ANGEL1,other,True,61.8316,0,,,-0.00741547,
RNF14,other,True,43.8845,8423,0.00171201,-0.00587232,-0.00457676,inf
DNASE1L1,other,True,55.4831,0,,,-0.0038943,
DDX11,other,False,4.76337,8423,-0.00207886,-0.0182804,-0.114651,-inf
HEBP1,other,True,90.0966,0,,,-0.0234813,
GPRC5A,other,True,133.89,0,,,,
MAMLD1,other,False,2.05481,0,,,-0.00846715,
CD6,other,True,13.5512,0,,,0.0135936,
TACC3,other,True,284.16,8423,0.000266534,0.00598497,0.00696299,0.041288
UFL1,other,True,15.7429,8423,0.00112567,-0.0759481,-0.0126271,inf
POLA2,other,True,122.324,8423,0.000593268,-0.0309754,0.000642669,inf
ZC3H3,other,True,63.4071,0,,,-0.00362001,
CAPN1,other,True,431.818,8423,0.00115731,0.00187395,0.00139796,0.715025
ACPP,other,False,2.79482,0,,,,
MDH1,other,True,45.4346,8423,0.000730599,0.00102419,-0.00486549,inf
SLC30A9,other,True,180.308,8423,0.00054444,-0.0181954,-0.00269268,inf
MTMR11,other,False,0.514333,0,,,,
COX15,other,True,129.051,8423,0.000894421,-0.0790903,-0.00330057,inf
CCDC88C,other,True,63.3122,8423,0.00050191,-0.23299,-0.00111391,inf
YAF2,other,True,59.5863,8423,0.000578262,-0.119594,-0.0038758,inf
ZMYND11,other,True,84.3965,8423,0.00145471,-0.0986216,-0.00181264,inf
WAS,other,True,61.6219,8423,0.00134219,-0.0986732,-0.000804103,inf
DPEP1,other,False,0.963982,0,,,,
BID,other,True,130.854,8423,0.000593809,0.00162187,0.00431189,0.224546
NPC1L1,other,False,0.0692926,0,,,,
XYLT2,other,True,42.7185,0,,,-0.000561955,
STMN4,other,False,0.0326694,0,,,,
NUDCD3,other,True,132.569,8423,0.000745722,-0.0786666,-0.00392106,inf
ISL1,other,True,5.36717,0,,,,
CHDH,other,False,2.07914,8423,-0.00490447,-0.160431,0.0377452,-inf
IL20RA,other,True,8.72563,0,,,,
CLCA1,other,False,0.0414548,0,,0.0602448,,
CLCA4,other,False,0.708116,0,,,,
GLT8D1,other,True,34.877,8423,-0.000123081,-0.0511595,-0.00746616,-inf
ATP2C1,other,True,184.949,8423,0.00042118,-0.12971,-0.000632763,inf
IGF1,other,False,1.51449,0,,,0.025868,
SLC38A5,other,True,97.9305,8423,0.001976,-0.0728001,0.00257707,inf
RALBP1,other,True,64.8417,8423,0.000405435,-0.0185548,-0.00273042,inf
RUFY3,other,True,20.2324,8423,0.00165291,-0.0722629,-0.0402533,inf
CNTN1,other,True,14.2542,0,,,,
SLC11A1,other,False,0.0829392,0,,,,
WWTR1,other,True,105.635,0,,,-0.360387,
AGPS,other,True,307.578,8423,0.000876907,-0.0523925,-0.000207731,inf
CXorf56,other,True,59.6009,0,,-0.0964223,,
ATP1A2,other,False,0.00460714,0,,,,
TTC27,other,True,44.5944,8423,0.000620844,-0.148736,-0.0017587,inf
ZNF582,other,False,0.022169,0,,,-0.0788044,
VSIG2,other,False,0.0230947,0,,,,
PHLDB1,other,True,40.1181,0,,,-0.140402,
MARCO,other,False,0.0112728,0,,,,
CYP24A1,other,False,4.36726,0,,,,
PRDM11,other,False,1.98291,0,,,,
SYT13,other,False,0.839012,0,,,,
SNAI2,other,True,46.4099,0,,,,
CD74,other,True,43.9845,0,,,0.026638,
HGF,other,False,0.00111359,0,,,,
ZRANB1,other,True,97.8853,0,,,-0.00452854,
NCDN,other,True,21.2199,8423,0.00098932,-0.114911,-0.00562405,inf
ADGRA2,other,True,8.73885,0,,,,
ZFP64,other,True,36.6503,0,,,-0.0109738,
MNAT1,other,True,163.629,8423,0.000170017,-0.0538383,-0.00317518,inf
SAMD4A,other,True,6.86873,0,,,-0.0933117,
RUNX3,other,True,12.996,0,,,0.00141457,
MRE11,other,True,53.3302,8423,0.000186045,-0.0411235,-0.00523354,inf
PLEKHB1,other,True,10.6226,0,,,-0.0569148,
SERPINB1,other,True,357.698,8423,0.00121368,0.00524032,0.0168029,0.12934
CYP3A43,other,False,0.0300995,0,,,,
SLC7A9,other,False,0.0619787,0,,,,
SPAST,other,True,54.235,8423,0.000449983,-0.0871506,-0.00528045,inf
NRXN3,other,False,0.450972,0,,,,
OSBPL5,other,True,17.9436,0,,,,
AQR,other,True,98.9576,8423,0.000166072,-0.000201329,-0.00398255,inf
CPS1,other,True,144.333,0,,,,
C8B,other,False,0.00957826,0,,,,
FHL1,other,True,56.7881,0,,,-0.00300406,
RTF2,other,True,211.213,8423,0.000272208,0.000899939,-0.00129588,inf
GABRA1,other,False,0.0202602,0,,,,
NLRP2,other,False,0.00346122,8423,0.00043814,-0.0175156,0.267457,inf
SLC45A4,other,False,4.05099,0,,,-0.0705462,
RNF10,other,True,88.4698,8423,0.00018637,0.00196415,-0.00199864,inf
ZNF839,other,True,15.6616,0,,,-0.0148995,
ZDHHC6,other,True,92.7004,8423,0.000949149,-0.0504143,-0.00124415,inf
GRAMD1B,other,True,41.8995,0,,,0.00676051,
RNH1,other,True,177.396,8423,0.00059462,0.000389302,-0.00128244,inf
NDUFS1,other,True,174.832,8423,0.000783516,0.00167336,-0.00198593,inf
RB1CC1,other,True,196.92,8423,0.000690417,-0.0832647,-0.00398647,inf
ERP44,other,True,269.806,8423,0.000471353,0.00428083,-0.00175309,inf
ALAS1,other,True,35.0901,8423,1.92882e-05,-0.0826583,-0.0035176,inf
BIRC3,other,True,15.2037,0,,,0.00955186,
AKAP11,other,True,47.3453,8423,0.00080948,-0.0483319,0.00175101,inf
GLRX2,other,True,61.631,8423,0.00122741,0.00421984,-0.000904747,inf
SNAPC1,other,True,35.2916,0,,,-0.00882715,
DERA,other,True,128.877,8423,0.00162676,0.00710886,-0.00181002,inf
STRAP,other,True,179.429,8423,0.000726007,-0.0516742,-0.000386307,inf
ABCC2,other,False,2.53855,0,,,-0.0947858,
DEF6,other,True,66.0859,8423,0.00154088,-0.10328,-0.000857415,inf
PLEKHO1,other,True,51.3069,8423,0.00146217,-0.226299,0.0154923,inf
GCLM,other,True,123.338,8423,0.000866569,0.00348236,0.00239838,0.299853
UBR2,other,True,134.742,8423,0.000197659,0.00127456,-0.000806363,inf
EHD2,other,True,54.3278,0,,,-0.310718,
DEPDC1,other,True,65.8798,8423,0.00132222,-0.0860939,0.0244159,inf
CCDC28A,other,True,46.2873,8423,0.000591606,-0.138795,-0.00450202,inf
RRAGD,other,True,26.7904,8423,0.00389604,-0.194608,0.0205113,inf
HSF2,other,True,23.6053,8423,0.000811155,-0.110982,-0.00809616,inf
PHF20,other,True,46.375,8423,0.000916604,0.000489066,-0.00809468,inf
HSD17B6,other,True,8.06571,0,,,-0.0654407,
NR1H3,other,True,45.4612,0,,,-0.0307376,
TYMP,other,True,20.3573,8423,0.000117731,-0.174352,0.0296293,inf
NCAPH2,other,True,151.622,8423,0.00043871,-0.0311195,0.00121282,inf
TOMM34,other,True,234.394,8423,0.000808558,-0.00838787,-0.000102398,inf
SEC63,other,True,76.5216,8423,0.000463788,0.000990628,-0.00304664,inf
