target_gene,cd4_library,orion_library,cd4_D1_Rest_cells,orion_HCT116_Batch1_cells,jurkat_cells,hepg2_cells,rpe1_cells,H1_Test,H1_Training,H1_Validation
MBD4,True,True,49,2,0,0,0,False,False,False
MED13,True,True,205,0,0,0,0,False,True,False
MED15,True,True,335,2,0,0,0,True,False,False
MED25,True,True,112,0,0,0,0,True,False,False
MLKL,True,True,49,1,0,0,0,False,False,False
MLLT10,True,True,209,0,0,0,0,False,False,False
MSANTD4,True,True,109,0,0,0,0,False,False,False
MSI2,True,True,189,0,0,0,0,False,False,False
MTA1,True,True,36,1,0,0,0,False,True,False
MTF1,True,True,13,1,0,0,0,False,False,False
MTHFSD,True,True,310,0,0,0,0,False,False,False
MTM1,True,True,187,1,0,0,0,False,False,False
MYD88,True,True,110,3,0,0,0,False,False,False
MYPOP,True,True,27,1,0,0,0,False,False,False
MYRF,True,True,85,7,0,0,0,False,False,False
NABP2,True,True,26,3,0,0,0,False,False,False
NAIF1,True,True,33,0,0,0,0,False,False,False
NCLN,True,True,148,1,0,0,0,False,False,False
NFE2L1,True,True,53,0,0,0,0,False,False,True
NGLY1,True,True,16,1,0,0,0,False,False,False
NICN1,True,True,0,0,0,0,0,False,False,False
NIPAL3,True,True,225,1,0,0,0,False,False,False
NIPSNAP3A,True,True,67,0,0,0,0,False,False,False
NT5DC1,True,True,392,0,0,0,0,False,False,False
NUP37,True,True,38,0,0,0,0,False,False,False
PAN2,True,True,150,0,0,0,0,False,False,False
PAPOLA,True,True,135,0,0,0,0,False,False,False
PARP3,True,True,21,0,0,0,0,False,False,False
PATL1,True,True,81,3,0,0,0,False,False,False
PBLD,True,True,72,2,0,0,0,False,False,False
PCGF1,True,True,47,1,0,0,0,False,False,False
PCGF6,True,True,51,3,0,0,0,False,False,False
PDCD4,True,True,156,1,0,0,0,False,False,False
PDE6D,True,True,116,0,0,0,0,False,False,False
PDK1,True,True,97,1,0,0,0,False,False,False
PDK3,True,True,310,0,0,0,0,False,False,False
PGLS,True,True,56,0,0,0,0,False,False,False
PHF11,True,True,80,0,0,0,0,False,False,False
PHF19,True,True,22,1,0,0,0,False,False,False
PHF23,True,True,82,0,0,0,0,False,False,False
PHF8,True,True,45,2,0,0,0,False,False,False
PI4KB,True,True,0,1,0,0,0,False,False,False
PIM2,True,True,136,0,0,0,0,False,False,False
PIN1,True,True,3,1,0,0,0,False,False,False
PINK1,True,True,44,2,0,0,0,False,False,False
PKN3,True,True,107,0,0,0,0,False,False,False
PLAGL2,True,True,1,2,0,0,0,True,False,False
PLCG1,True,True,135,1,0,0,0,False,False,False
PNP,True,True,112,0,0,0,0,False,False,False
POLD4,True,True,222,1,0,0,0,False,False,False
POR,True,True,127,1,0,0,0,False,False,False
PPIF,True,True,29,2,0,0,0,False,False,False
PPIP5K2,True,True,267,1,0,0,0,False,False,False
PQBP1,True,True,42,2,0,0,0,False,False,False
PRDX3,True,True,108,0,0,0,0,False,False,False
PRKAB2,True,True,66,2,0,0,0,False,False,False
PRKACA,True,True,183,0,0,0,0,False,False,False
PRMT2,True,True,179,1,0,0,0,False,False,False
PRMT6,True,True,56,1,0,0,0,False,False,False
PRMT7,True,True,31,2,0,0,0,False,False,False
PRNP,True,True,122,1,0,0,0,False,False,False
PSKH1,True,True,345,0,0,0,0,False,False,False
PSMB9,True,True,305,1,0,0,0,False,False,False
PTMS,True,True,54,2,0,0,0,False,False,False
PTOV1,True,True,98,0,0,0,0,False,False,False
PYCR1,True,True,133,0,0,0,0,False,False,False
R3HCC1L,True,True,282,1,0,0,0,False,False,False
RAB11FIP5,True,True,109,0,0,0,0,False,False,False
RAB5A,True,True,61,2,0,0,0,False,False,False
RABEP2,True,True,171,1,0,0,0,False,False,False
RBM18,True,True,46,1,0,0,0,False,False,False
RBM26,True,True,120,0,0,0,0,False,False,False
RBM4B,True,True,197,1,0,0,0,False,False,False
RBM5,True,True,166,1,0,0,0,False,False,False
RC3H2,True,True,92,1,0,0,0,False,False,False
REV1,True,True,7,1,0,0,0,False,False,False
RFK,True,True,58,0,0,0,0,False,False,False
RNF10,True,True,104,1,0,0,0,False,False,False
RNF141,True,True,434,2,0,0,0,False,False,False
RNF2,True,True,164,0,0,0,0,False,True,False
RSRC1,True,True,62,0,0,0,0,False,False,False
S100A11,True,True,75,0,0,0,0,False,False,False
SAP30L,True,True,109,1,0,0,0,False,False,False
SCAF8,True,True,76,0,0,0,0,False,False,False
SEMA4F,True,True,42,0,0,0,0,False,False,False
SFXN4,True,True,521,0,0,0,0,False,False,False
SH2D3A,True,True,263,4,0,0,0,False,False,False
SHPRH,True,True,390,0,0,0,0,False,True,False
SIN3B,True,True,488,0,0,0,0,False,True,False
SLC25A13,True,True,85,0,0,0,0,False,False,False
SLC39A1,True,True,135,0,0,0,0,False,False,False
SLC44A1,True,True,45,2,0,0,0,False,False,False
SLIRP,True,True,17,0,0,0,0,False,False,True
SMARCA5,True,True,5,2,0,0,0,False,True,False
SMARCC2,True,True,56,1,0,0,0,False,False,False
SMYD2,True,True,60,0,0,0,0,False,False,False
SND1,True,True,135,3,0,0,0,False,False,False
SNN,True,True,178,0,0,0,0,False,False,False
SNRK,True,True,19,0,0,0,0,False,False,False
SNX4,True,True,91,0,0,0,0,False,False,False
SOCS5,True,True,12,1,0,0,0,False,False,False
SPATA20,True,True,120,0,0,0,0,False,False,False
SRSF5,True,True,167,2,0,0,0,False,False,False
SSR4,True,True,57,1,0,0,0,False,False,False
STAT6,True,True,98,0,0,0,0,False,True,False
STK3,True,True,3,0,0,0,0,False,False,False
STT3A,True,True,191,0,0,0,0,False,False,False
SUPT7L,True,True,318,1,0,0,0,False,False,False
SYVN1,True,True,7,2,0,0,0,False,False,False
TAF15,True,True,198,1,0,0,0,False,False,False
TAF4,True,True,11,1,0,0,0,False,False,False
TARBP2,True,True,79,3,0,0,0,False,True,False
TBC1D13,True,True,2,1,0,0,0,False,False,False
TBC1D19,True,True,44,1,0,0,0,False,False,False
TBCK,True,True,158,0,0,0,0,False,False,False
TDRD7,True,True,86,2,0,0,0,False,False,False
TEAD4,True,True,179,0,0,0,0,False,False,False
TESK2,True,True,199,2,0,0,0,False,False,False
TEX2,True,True,144,1,0,0,0,False,False,False
TFCP2,True,True,82,0,0,0,0,False,False,False
THAP3,True,True,96,1,0,0,0,False,False,False
THAP7,True,True,107,2,0,0,0,False,False,False
TIMM17B,True,True,11,1,0,0,0,False,False,False
TIMM50,True,True,2,2,0,0,0,False,False,False
TMCO6,True,True,128,0,0,0,0,False,False,False
TMED3,True,True,97,1,0,0,0,False,False,False
TMEM104,True,True,160,3,0,0,0,False,False,False
TMEM147,True,True,23,0,0,0,0,False,False,False
TMEM186,True,True,60,1,0,0,0,False,False,False
TMEM209,True,True,13,1,0,0,0,False,False,False
TMEM41B,True,True,14,0,0,0,0,False,False,False
TMEM79,True,True,171,0,0,0,0,False,False,False
TMF1,True,True,415,2,0,0,0,False,False,False
TRAPPC6A,True,True,122,0,0,0,0,False,True,False
TRIB3,True,True,27,1,0,0,0,False,False,False
TRIM35,True,True,137,2,0,0,0,False,False,False
TRIP4,True,True,70,1,0,0,0,False,False,False
TRMT1,True,True,302,2,0,0,0,False,False,False
TRPC4AP,True,True,224,4,0,0,0,False,False,False
TTBK2,True,True,198,1,0,0,0,False,False,False
TWF2,True,True,370,0,0,0,0,False,True,False
TXNDC16,True,True,102,1,0,0,0,False,False,False
UNK,True,True,65,0,0,0,0,False,False,False
UPF3B,True,True,5,2,0,0,0,False,False,False
UROS,True,True,33,0,0,0,0,False,False,False
USP28,True,True,65,0,0,0,0,False,False,False
VAPB,True,True,141,0,0,0,0,False,False,False
VIM,True,True,89,0,0,0,0,False,False,False
WBP4,True,True,39,1,0,0,0,False,False,False
YIPF6,True,True,79,0,0,0,0,False,False,False
ZBTB34,True,True,110,5,0,0,0,False,False,False
ZBTB41,True,True,111,2,0,0,0,False,False,False
ZBTB48,True,True,219,0,0,0,0,False,False,False
ZC2HC1A,True,True,51,2,0,0,0,False,False,False
ZC3HAV1,True,True,123,1,0,0,0,False,False,False
ZDHHC12,True,True,55,1,0,0,0,False,False,False
ZDHHC4,True,True,149,2,0,0,0,False,False,False
ZFP62,True,True,120,1,0,0,0,True,False,False
ZHX3,True,True,151,0,0,0,0,False,False,False
ZKSCAN1,True,True,18,1,0,0,0,False,False,False
ZKSCAN2,True,True,14,1,0,0,0,False,False,False
ZKSCAN3,True,True,7,0,0,0,0,False,False,False
ZNF16,True,True,93,1,0,0,0,False,False,False
ZNF174,True,True,326,1,0,0,0,False,False,False
ZNF219,True,True,2,0,0,0,0,False,False,False
ZNF22,True,True,137,1,0,0,0,False,False,False
ZNF25,True,True,42,0,0,0,0,False,False,False
ZNF251,True,True,331,1,0,0,0,False,False,False
ZNF280C,True,True,193,1,0,0,0,False,False,False
ZNF282,True,True,325,1,0,0,0,False,False,False
ZNF32,True,True,127,0,0,0,0,True,False,False
ZNF324,True,True,115,0,0,0,0,False,False,False
ZNF397,True,True,52,1,0,0,0,False,False,False
ZNF410,True,True,392,1,0,0,0,False,False,False
ZNF444,True,True,141,1,0,0,0,False,False,False
ZNF462,True,True,318,0,0,0,0,False,False,False
ZNF496,True,True,259,0,0,0,0,False,False,False
ZNF507,True,True,47,2,0,0,0,False,False,False
ZNF514,True,True,150,3,0,0,0,False,False,False
ZNF526,True,True,101,3,0,0,0,False,False,False
ZNF530,True,True,253,0,0,0,0,False,False,False
ZNF543,True,True,124,1,0,0,0,False,False,False
ZNF627,True,True,59,2,0,0,0,False,False,False
ZNF628,True,True,92,0,0,0,0,False,False,False
ZNF641,True,True,51,0,0,0,0,False,False,False
ZNF670,True,True,103,1,0,0,0,False,False,False
ZNF714,True,True,167,0,0,0,0,False,True,False
ZNF740,True,True,41,1,0,0,0,False,False,False
ZNF768,True,True,13,3,0,0,0,False,False,False
ZNF777,True,True,90,1,0,0,0,False,False,False
ZNF783,True,True,239,1,0,0,0,False,False,False
ZNF784,True,True,121,1,0,0,0,False,False,False
ZNF786,True,True,59,0,0,0,0,False,False,False
ZNF821,True,True,35,2,0,0,0,False,False,False
ZRANB3,True,True,63,0,0,0,0,False,False,False
