context,ntc_id,n_cells,mean_library_size,rms_log1p_shift
C,non-targeting-58,400,21603.8925,0.07710422036425443
C,non-targeting-59,400,21007.3475,0.0749951678548922
C,non-targeting-61,400,20440.1075,0.07750221062199673
C,non-targeting-65,400,21235.245,0.07694131970463357
C,non-targeting-68,400,21214.4875,0.07593254239982085
C,non-targeting-7,400,21424.1975,0.07688815141832431
C,non-targeting-70,400,21144.66,0.07693739132277153
C,non-targeting-71,400,20301.8175,0.07921573862615049
C,non-targeting-72,400,21134.48,0.07575177889405749
C,non-targeting-73,400,20170.1,0.07654496897078415
C,non-targeting-74,400,21542.4825,0.07362559921288335
C,non-targeting-77,400,22075.6625,0.07798405556866539
C,non-targeting-8,400,20605.955,0.07827844021521344
C,non-targeting-80,400,21464.945,0.07414712283356965
C,non-targeting-82,400,21484.46,0.0745286588011215
C,non-targeting-83,400,20810.2675,0.07319218733978937
C,non-targeting-85,400,21083.8575,0.0723253129649314
C,non-targeting-88,400,21472.94,0.0752297531044092
C,non-targeting-89,400,21292.015,0.07686871190636875
C,non-targeting-91,400,21191.97,0.07336395278437954
C,non-targeting-93,400,21001.9975,0.07436594532031651
C,non-targeting-98,400,20788.9125,0.07650210833768802
C,non-targeting-99,400,21149.455,0.0752896114321458
