target,col,gene,dist,orient,prior_ln
TMEM186,7709,PMM2,8940,convergent,-0.1894863426972551
TMEM209,11060,SSMEM1,1426,convergent,-0.48907369723930433
TMEM79,16460,SMG5,66,divergent,-0.49102841304985284
TRIM35,4947,PTK2B,167,divergent,-0.49102841304985284
TRIP4,11450,PCLAF,61,divergent,-0.49102841304985284
TRMT1,10132,NACC1,1099,convergent,-0.48907369723930433
TWF2,10783,PPM1M,1047,convergent,-0.48907369723930433
TXNDC16,14065,GPR137C,740,convergent,-0.6096174038210658
UNK,6348,H3F3B,1094,convergent,-0.48907369723930433
UROS,3364,BCCIP,235,divergent,-0.49102841304985284
WBP4,4916,ELF1,1085,convergent,-0.48907369723930433
ZC3HAV1,3121,TTC26,1622,divergent,-0.4694946434253447
ZKSCAN3,17540,ZSCAN31,6360,convergent,-0.1894863426972551
ZNF174,7750,ZSCAN32,289,convergent,-0.5763821719579388
ZNF219,17483,TMEM253,5911,convergent,-0.1894863426972551
ZNF324,1561,ZNF446,6965,tandem,-0.1894863426972551
ZNF496,10377,NLRP3,491,convergent,-0.5763821719579388
ZNF514,18287,ZNF2,240,convergent,-0.5763821719579388
ZNF526,10088,DEDD2,3366,convergent,-0.2872711493507153
ZNF627,5991,ELOF1,49,divergent,-0.49102841304985284
ZNF628,1846,NAT14,8352,tandem,-0.1894863426972551
ZNF740,7563,CSAD,378,convergent,-0.5763821719579388
ZNF768,12170,ZNF747,8019,tandem,-0.1894863426972551
ZNF784,12486,ZNF581,94,divergent,-0.49102841304985284
ZRANB3,633,R3HDM1,220,divergent,-0.49102841304985284
